Sample	Unique Reads	Duplicate Reads
5010_10_S10_L003_R1_001	12997774.0	42411187.0
5010_10_S10_L003_R2_001	14876649.0	40532312.0
5010_11_S11_L003_R1_001	12451796.0	39109615.0
5010_11_S11_L003_R2_001	14000726.0	37560685.0
5010_12_S12_L003_R1_001	11355153.0	38345486.0
5010_12_S12_L003_R2_001	13423843.0	36276796.0
5010_13_S13_L003_R1_001	11788988.0	40172933.0
5010_13_S13_L003_R2_001	13968503.0	37993418.0
5010_14_S14_L003_R1_001	13396141.0	48346256.0
5010_14_S14_L003_R2_001	15848793.0	45893604.0
5010_15_S15_L003_R1_001	11839014.0	39196631.0
5010_15_S15_L003_R2_001	14192757.0	36842888.0
5010_16_S16_L003_R1_001	11714367.0	38589493.0
5010_16_S16_L003_R2_001	14024893.0	36278967.0
5010_17_S17_L003_R1_001	12993713.0	40041500.0
5010_17_S17_L003_R2_001	15255424.0	37779789.0
5010_18_S18_L003_R1_001	10977731.0	34880223.0
5010_18_S18_L003_R2_001	12859871.0	32998083.0
5010_19_S19_L003_R1_001	9277603.0	31805417.0
5010_19_S19_L003_R2_001	11230682.0	29852338.0
5010_1_S1_L003_R1_001	9780435.0	35099306.0
5010_1_S1_L003_R2_001	11826364.0	33053377.0
5010_20_S20_L003_R1_001	10599820.0	31982588.0
5010_20_S20_L003_R2_001	12461615.0	30120793.0
5010_21_S21_L003_R1_001	11273100.0	31531154.0
5010_21_S21_L003_R2_001	13143595.0	29660659.0
5010_22_S22_L003_R1_001	10519475.0	32086171.0
5010_22_S22_L003_R2_001	12333708.0	30271938.0
5010_23_S23_L003_R1_001	10195425.0	31412515.0
5010_23_S23_L003_R2_001	12214757.0	29393183.0
5010_24_S24_L003_R1_001	11786267.0	36111178.0
5010_24_S24_L003_R2_001	14173105.0	33724340.0
5010_25_S25_L003_R1_001	11309736.0	36870040.0
5010_25_S25_L003_R2_001	13538043.0	34641733.0
5010_26_S26_L003_R1_001	12214643.0	34313853.0
5010_26_S26_L003_R2_001	14583191.0	31945305.0
5010_27_S27_L003_R1_001	11160013.0	36280563.0
5010_27_S27_L003_R2_001	13701396.0	33739180.0
5010_28_S28_L003_R1_001	9925178.0	31106429.0
5010_28_S28_L003_R2_001	11793995.0	29237612.0
5010_29_S29_L003_R1_001	10333051.0	32598965.0
5010_29_S29_L003_R2_001	12562847.0	30369169.0
5010_2_S2_L003_R1_001	11218689.0	33689932.0
5010_2_S2_L003_R2_001	13181609.0	31727012.0
5010_30_S30_L003_R1_001	9282082.0	34239551.0
5010_30_S30_L003_R2_001	11054227.0	32467406.0
5010_31_S31_L003_R1_001	11219320.0	35141814.0
