Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
5010_10_S10_L003_R1_001	76.5421089372817	51.0	157.0	18.181818181818183	55408961.0
5010_10_S10_L003_R2_001	73.15118606227878	50.0	157.0	27.27272727272727	55408961.0
5010_11_S11_L003_R1_001	75.85055374947612	50.0	157.0	18.181818181818183	51561411.0
5010_11_S11_L003_R2_001	72.84650408764989	50.0	157.0	27.27272727272727	51561411.0
5010_12_S12_L003_R1_001	77.1529051649605	52.0	157.0	18.181818181818183	49700639.0
5010_12_S12_L003_R2_001	72.99060316613132	51.0	157.0	27.27272727272727	49700639.0
5010_13_S13_L003_R1_001	77.31225538273146	52.0	157.0	18.181818181818183	51961921.0
5010_13_S13_L003_R2_001	73.11780924901524	51.0	157.0	27.27272727272727	51961921.0
5010_14_S14_L003_R1_001	78.30317441939137	52.0	157.0	18.181818181818183	61742397.0
5010_14_S14_L003_R2_001	74.3307782473305	51.0	157.0	27.27272727272727	61742397.0
5010_15_S15_L003_R1_001	76.80246070250253	51.0	157.0	18.181818181818183	51035645.0
5010_15_S15_L003_R2_001	72.19050243677309	50.0	157.0	27.27272727272727	51035645.0
5010_16_S16_L003_R1_001	76.71278728702862	51.0	157.0	18.181818181818183	50303860.0
5010_16_S16_L003_R2_001	72.11964887335095	50.0	157.0	27.27272727272727	50303860.0
5010_17_S17_L003_R1_001	75.49983934618476	51.0	157.0	18.181818181818183	53035213.0
5010_17_S17_L003_R2_001	71.23529273062252	51.0	157.0	27.27272727272727	53035213.0
5010_18_S18_L003_R1_001	76.06144677591999	52.0	157.0	18.181818181818183	45857954.0
5010_18_S18_L003_R2_001	71.95716366368859	51.0	157.0	27.27272727272727	45857954.0
5010_19_S19_L003_R1_001	77.41742918554047	52.0	157.0	18.181818181818183	41083020.0
5010_19_S19_L003_R2_001	72.66344830206546	51.0	157.0	27.27272727272727	41083020.0
5010_1_S1_L003_R1_001	78.20746224889467	52.0	157.0	18.181818181818183	44879741.0
5010_1_S1_L003_R2_001	73.64877115798083	51.0	157.0	27.27272727272727	44879741.0
5010_20_S20_L003_R1_001	75.1075142410837	52.0	157.0	18.181818181818183	42582408.0
5010_20_S20_L003_R2_001	70.73529806151848	51.0	157.0	27.27272727272727	42582408.0
5010_21_S21_L003_R1_001	73.66360016568211	51.0	157.0	18.181818181818183	42804254.0
5010_21_S21_L003_R2_001	69.29371891650025	51.0	157.0	27.27272727272727	42804254.0
5010_22_S22_L003_R1_001	75.30967045799642	51.0	157.0	27.27272727272727	42605646.0
5010_22_S22_L003_R2_001	71.0514719625823	51.0	157.0	36.36363636363637	42605646.0
5010_23_S23_L003_R1_001	75.49644410176123	52.0	157.0	18.181818181818183	41607940.0
5010_23_S23_L003_R2_001	70.64320733759529	51.0	157.0	27.27272727272727	41607940.0
5010_24_S24_L003_R1_001	75.39270308048518	51.0	157.0	18.181818181818183	47897445.0
5010_24_S24_L003_R2_001	70.4094761179789	51.0	157.0	27.27272727272727	47897445.0
5010_25_S25_L003_R1_001	76.52596956858784	52.0	157.0	18.181818181818183	48179776.0
5010_25_S25_L003_R2_001	71.90098436722909	51.0	157.0	27.27272727272727	48179776.0
5010_26_S26_L003_R1_001	73.74803994626134	51.0	157.0	18.181818181818183	46528496.0
5010_26_S26_L003_R2_001	68.6575070548998	50.0	157.0	27.27272727272727	46528496.0
5010_27_S27_L003_R1_001	76.47580649976052	52.0	157.0	18.181818181818183	47440576.0
5010_27_S27_L003_R2_001	71.1188258571771	51.0	157.0	27.27272727272727	47440576.0
5010_28_S28_L003_R1_001	75.8108977604692	52.0	157.0	18.181818181818183	41031607.0
5010_28_S28_L003_R2_001	71.25631850444995	51.0	157.0	27.27272727272727	41031607.0
5010_29_S29_L003_R1_001	75.93159640900413	51.0	157.0	18.181818181818183	42932016.0
5010_29_S29_L003_R2_001	70.73781325014703	50.0	157.0	27.27272727272727	42932016.0
5010_2_S2_L003_R1_001	75.01885278694206	52.0	157.0	18.181818181818183	44908621.0
5010_2_S2_L003_R2_001	70.64793328427353	51.0	157.0	27.27272727272727	44908621.0
5010_30_S30_L003_R1_001	78.67248828654161	52.0	157.0	18.181818181818183	43521633.0
5010_30_S30_L003_R2_001	74.60061574085499	50.0	157.0	27.27272727272727	43521633.0
5010_31_S31_L003_R1_001	75.80016198664927	52.0	157.0	18.181818181818183	46361134.0
5010_31_S31_L003_R2_001	71.04711816234084	52.0	157.0	27.27272727272727	46361134.0
5010_32_S32_L003_R1_001	75.21981590771267	51.0	157.0	18.181818181818183	46336582.0
5010_32_S32_L003_R2_001	71.36073471617217	50.0	157.0	27.27272727272727	46336582.0
5010_33_S33_L003_R1_001	78.50240793666227	51.0	157.0	18.181818181818183	47637142.0
5010_33_S33_L003_R2_001	74.10498379462051	50.0	157.0	27.27272727272727	47637142.0
5010_34_S34_L003_R1_001	77.663654922381	51.0	157.0	18.181818181818183	45277844.0
5010_34_S34_L003_R2_001	73.18249620331395	50.0	157.0	27.27272727272727	45277844.0
5010_35_S35_L003_R1_001	76.94296026054062	51.0	157.0	18.181818181818183	47422459.0
5010_35_S35_L003_R2_001	72.70795331186284	50.0	157.0	27.27272727272727	47422459.0
5010_36_S36_L003_R1_001	78.81777110273333	51.0	157.0	18.181818181818183	41902980.0
5010_36_S36_L003_R2_001	76.91776473639992	50.0	157.0	27.27272727272727	41902980.0
5010_37_S37_L003_R1_001	75.22512730329831	51.0	157.0	18.181818181818183	40872346.0
5010_37_S37_L003_R2_001	70.11266828711479	50.0	157.0	27.27272727272727	40872346.0
5010_38_S38_L003_R1_001	75.12636306580005	51.0	157.0	18.181818181818183	44670454.0
5010_38_S38_L003_R2_001	70.97369271792203	50.0	157.0	27.27272727272727	44670454.0
5010_39_S39_L003_R1_001	77.16752879181645	52.0	157.0	18.181818181818183	45646895.0
5010_39_S39_L003_R2_001	72.71639293896197	51.0	157.0	27.27272727272727	45646895.0
5010_3_S3_L003_R1_001	75.7677840462158	52.0	157.0	18.181818181818183	46182073.0
5010_3_S3_L003_R2_001	71.12944421250837	51.0	157.0	27.27272727272727	46182073.0
5010_40_S40_L003_R1_001	76.70094294731649	52.0	157.0	18.181818181818183	50007325.0
5010_40_S40_L003_R2_001	72.15308860001505	51.0	157.0	27.27272727272727	50007325.0
5010_41_S41_L003_R1_001	75.81051612070591	52.0	157.0	18.181818181818183	46697081.0
5010_41_S41_L003_R2_001	71.64519802022717	51.0	157.0	27.27272727272727	46697081.0
5010_42_S42_L003_R1_001	76.9450317860794	52.0	157.0	18.181818181818183	50425793.0
5010_42_S42_L003_R2_001	72.59511405458564	51.0	157.0	27.27272727272727	50425793.0
5010_43_S43_L003_R1_001	74.56636939883855	51.0	157.0	18.181818181818183	40294830.0
5010_43_S43_L003_R2_001	69.75834430198758	50.0	157.0	27.27272727272727	40294830.0
5010_44_S44_L003_R1_001	80.81009719735201	51.0	157.0	18.181818181818183	80185160.0
5010_44_S44_L003_R2_001	76.56795979648997	50.0	157.0	27.27272727272727	80185160.0
5010_45_S45_L003_R1_001	47.38775526597827	52.0	157.0	9.090909090909092	933380.0
5010_45_S45_L003_R2_001	42.1933889553473	51.0	157.0	18.181818181818183	933380.0
5010_46_S46_L003_R1_001	72.6980393074372	50.0	157.0	18.181818181818183	42507894.0
5010_46_S46_L003_R2_001	68.36049471165596	50.0	157.0	27.27272727272727	42507894.0
5010_47_S47_L003_R1_001	75.77977207135365	51.0	157.0	18.181818181818183	49653774.0
5010_47_S47_L003_R2_001	72.6236876368118	51.0	157.0	27.27272727272727	49653774.0
5010_48_S48_L003_R1_001	75.28839339782185	52.0	157.0	18.181818181818183	42995669.0
5010_48_S48_L003_R2_001	70.28401622196242	51.0	157.0	27.27272727272727	42995669.0
5010_49_S49_L003_R1_001	76.0828565507798	52.0	157.0	27.27272727272727	48311675.0
5010_49_S49_L003_R2_001	72.35471788080389	51.0	157.0	36.36363636363637	48311675.0
5010_4_S4_L003_R1_001	77.81743168061607	51.0	157.0	9.090909090909092	41256981.0
5010_4_S4_L003_R2_001	73.7626927475253	51.0	157.0	18.181818181818183	41256981.0
5010_50_S50_L003_R1_001	76.87740064908837	51.0	157.0	27.27272727272727	48674255.0
5010_50_S50_L003_R2_001	72.82127002037919	51.0	157.0	36.36363636363637	48674255.0
5010_51_S51_L003_R1_001	78.08632179273602	51.0	157.0	27.27272727272727	54498829.0
5010_51_S51_L003_R2_001	74.8401331236767	50.0	157.0	36.36363636363637	54498829.0
5010_52_S52_L003_R1_001	74.5132304569397	51.0	157.0	27.27272727272727	47459600.0
5010_52_S52_L003_R2_001	71.09162696287628	50.0	157.0	36.36363636363637	47459600.0
5010_53_S53_L003_R1_001	78.45761514838784	52.0	157.0	18.181818181818183	67585152.0
5010_53_S53_L003_R2_001	74.63051488181881	51.0	157.0	27.27272727272727	67585152.0
5010_54_S54_L003_R1_001	77.85514155991986	51.0	157.0	27.27272727272727	66156863.0
5010_54_S54_L003_R2_001	74.37213100861639	50.0	157.0	36.36363636363637	66156863.0
5010_55_S55_L003_R1_001	76.67845720648455	52.0	157.0	27.27272727272727	50551250.0
5010_55_S55_L003_R2_001	72.56560963828377	51.0	157.0	36.36363636363637	50551250.0
5010_56_S56_L003_R1_001	77.49232431267343	51.0	157.0	27.27272727272727	59300536.0
5010_56_S56_L003_R2_001	74.55663014717534	50.0	157.0	36.36363636363637	59300536.0
5010_57_S57_L003_R1_001	76.4063365230628	51.0	157.0	18.181818181818183	47314399.0
5010_57_S57_L003_R2_001	72.7796012387362	51.0	157.0	27.27272727272727	47314399.0
5010_58_S58_L003_R1_001	75.0408261419519	51.0	157.0	27.27272727272727	47506945.0
5010_58_S58_L003_R2_001	71.5164116815916	51.0	157.0	36.36363636363637	47506945.0
5010_59_S59_L003_R1_001	76.80531797320475	52.0	157.0	18.181818181818183	49385673.0
5010_59_S59_L003_R2_001	72.904786519054	51.0	157.0	27.27272727272727	49385673.0
5010_5_S5_L003_R1_001	75.04838793272651	51.0	157.0	18.181818181818183	37927326.0
5010_5_S5_L003_R2_001	70.83831243649355	51.0	157.0	27.27272727272727	37927326.0
