Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	18	9.137055837563452	9.120447531772583E-18	P0CT39, Q95SX7, P21328, Q7LHG5, O00370, P14381, Q9NBX4, P0CT40, P11369, Q03278, P16425, Q09575	184	22	3158	14.042490118577076	8.801231868160542E-15	8.801231868160542E-15	8.79211142062877E-15
INTERPRO	IPR000477:Reverse transcriptase	18	9.137055837563452	1.3971924455426576E-17	P0CT39, Q95SX7, P21328, Q7LHG5, O00370, P14381, Q9NBX4, P0CT40, P11369, Q03278, P16425, Q09575	192	22	3219	13.717329545454545	6.399141400585372E-15	6.399141400585372E-15	6.329281778308239E-15
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	15	7.614213197969544	1.0803254898417717E-14	P0CT39, Q95SX7, P21328, Q7LHG5, O00370, Q9NBX4, P0CT40, P11369, Q03278	138	18	2273	13.72584541062802	6.676881270095691E-13	6.698018037018985E-13	5.941790194129744E-13
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	15	7.614213197969544	1.0831958605893901E-13	P0CT39, Q95SX7, P21328, Q7LHG5, O00370, Q9NBX4, P0CT40, P11369, Q03278	177	20	2979	12.622881355932202	3.781686075399193E-11	3.7803535534569716E-11	3.758689636245184E-11
INTERPRO	IPR012337:Ribonuclease H-like domain	20	10.152284263959391	1.7810472043584317E-10	A4Z943, A4Z944, O95789, Q49AG3, A4IFA3, Q5SVZ6, P0CT40, P11369, A2VE52, Q09575, P0CT39, Q6ZNG9, P21328, Q7LHG5	192	57	3219	5.8826754385964914	8.157197362024249E-8	3.8085210783965747E-8	3.7669433373660446E-8
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	13	6.598984771573605	1.873268517702731E-10	P0CT39, Q6ZNG9, P21328, Q7LHG5, P0CT40, P11369, Q09575	184	21	3158	10.624741200828156	1.8077036567643034E-7	9.038520597915677E-8	9.029154255327164E-8
INTERPRO	IPR001584:Integrase, catalytic core	13	6.598984771573605	2.494664461831818E-10	P0CT39, Q6ZNG9, P21328, Q7LHG5, P0CT40, P11369, Q09575	192	21	3219	10.378720238095237	1.1425562640443587E-7	3.8085210783965747E-8	3.7669433373660446E-8
INTERPRO	IPR021109:Aspartic peptidase	11	5.583756345177665	9.964024465495085E-10	P0CT39, P21328, Q7LHG5, P0CT40, Q09575	192	15	3219	12.294791666666667	4.563521975864404E-7	1.1408808012991872E-7	1.1284257707173183E-7
GOTERM_BP_DIRECT	GO:0015074~DNA integration	13	6.598984771573605	1.07733492449332E-8	P0CT39, Q6ZNG9, P21328, Q7LHG5, P0CT40, P11369, Q09575	174	28	3042	8.116995073891626	8.360084088443465E-6	5.1707024355128504E-6	5.1707024355128504E-6
GOTERM_BP_DIRECT	GO:0006278~RNA-dependent DNA biosynthetic process	9	4.568527918781726	1.3326552668847553E-8	P0CT39, Q7LHG5, P0CT40	174	11	3042	14.304075235109718	1.0341351444731472E-5	5.1707024355128504E-6	5.1707024355128504E-6
