Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	14	5.263157894736842	2.7461065805771458E-11	P0CT39, Q95SX7, P04323, P21328, P10394, Q9NBX4, P0CT40, P11369, Q03278	186	18	2273	9.50477897252091	1.5103568395957723E-9	1.5103586193174302E-9	1.2082868954539442E-9
INTERPRO	IPR000477:Reverse transcriptase	15	5.639097744360902	4.396083317718305E-11	P0CT39, Q95SX7, P04323, P21328, P10394, P14381, Q9NBX4, P0CT40, P11369, Q03278	254	22	3219	8.640837508947746	2.373885055195757E-8	2.3738849915678846E-8	2.33432024170842E-8
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	15	5.639097744360902	5.999261037403736E-11	P0CT39, Q95SX7, P04323, P21328, P10394, P14381, Q9NBX4, P0CT40, P11369, Q03278	255	22	3158	8.443850267379679	9.652803478754635E-8	9.65281100918261E-8	9.622814703995592E-8
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	14	5.263157894736842	2.1675916867051286E-10	P0CT39, Q95SX7, P04323, P21328, P10394, Q9NBX4, P0CT40, P11369, Q03278	242	20	2979	8.61694214876033	8.605338530642825E-8	8.60533899621936E-8	8.475283495017052E-8
INTERPRO	IPR001969:Peptidase aspartic, active site	10	3.7593984962406015	1.7827737871163915E-8	P0CT39, P04323, P21328, P10394, P0CT40	254	12	3219	10.561023622047244	9.626932180983871E-6	4.813489225214257E-6	4.733264404794019E-6
UP_SEQ_FEATURE	DOMAIN:Peptidase A2	9	3.3834586466165413	6.160500643755952E-8	P0CT39, P10394, P0CT40	255	10	3158	11.145882352941175	9.911754592972777E-5	3.5417922622613925E-5	3.530786071266173E-5
UP_SEQ_FEATURE	ACT_SITE:For protease activity	10	3.7593984962406015	6.603714597131247E-8	P0CT39, P04323, P21328, P10394, P0CT40	255	13	3158	9.526395173453997	1.0624812664805638E-4	3.5417922622613925E-5	3.530786071266173E-5
UP_SEQ_FEATURE	REGION:Disordered	196	73.68421052631578	3.0226569047590615E-7	Q61315, P07900, O95714, Q28G26, Q9VT28, Q8IZQ1, P62083, Q03278, P90703, A5YKK6, Q12829, Q8VIH3, Q5NCX5, F1RD40, P86049, Q7TPH6, Q9NBX4, P46783, Q8N584, P26016, Q92614, A1A4S6, P63326, Q4KLU7, Q9D9R9, Q15149, Q13884, Q15269, Q9VZX9, A2SXS5, Q642P2, Q6P1C6, Q99LG2, P0CT39, O60610, Q27409, Q9D1Z3, Q6PEB4, A7E305, Q8CJ19, Q8BL06, Q8NFA0, Q96WV6, O46040, P49880, Q9JKB5, Q8C170, D0FH76, P23253, A1L2E4, Q9UPP1, Q96DX4, Q9VS29, Q9W0K7, Q02440, Q9CR41, O75095, Q08CX2, O60268, Q9VHV1, Q7Z6Z7, P42285, A7MBP4, Q8BX70, Q9W1V3, Q8IYD8, Q01989, Q9VM71, P83877, Q6ZQ08, Q9Y6R4, P49596, O74423, P70398, Q5NVC7, Q8IFN0, Q0IEY3, P11799, Q7JM44, Q6DDB9, Q9GSR1, Q9Y6J0, Q8MH63, Q8BR27, Q8BY87, B3EWZ6, Q6I6G8, Q7YU81, Q02427, B4F6I5, Q4KMP7, A0A6J1W8N1, B1AY13, Q2TL32, P25439, O46385, O14733, Q9P2E9, P57080, Q6ZQX7, Q62203, Q3MII6, A2RRU4, Q9H2M9, P55345, Q9UL12, Q0KK59, P27398, O00507, Q02384, Q5U4Y8, Q5SVZ6, Q9VCE9, P11369, Q40375, P19889, P21328, Q99NH0, Q99323, Q8CJG1, Q962R1, Q8CG09, P46863, Q0IJ05, Q8IZD9, P04323, Q28ET8, Q5M8Z0, Q9ULK2, Q6GQQ9, P51559, A8E0R9, Q96MW7, Q99PT0, Q3SWZ4, A2AJ88, Q8C547, Q6DE97, Q01433, Q15075, Q9ULT8, Q60520, Q86MI0, Q5HZH2, P26043, O75564, P0CT40, Q96LT4, Q5TM26, Q3ZBG9, P53988, Q03173, Q25434, Q8BMF3, Q9VZ49, Q5HY64, Q5ZM14, A8E7C5, Q9U6A0, A0A0R4IES7, Q9UPU5, Q8INR6, A0JP85, O94972, Q9VCH5, Q49AJ0, Q9MAQ3, Q5T4S7, Q9NDJ2, Q9VW71, Q0V8K7, Q8BXR9, C0HL13, Q90XD2, F1QN54, Q23551, Q8TBR7, Q6MG06, Q95332, M9MRD1, P0C5Y8, Q9VCY8, A2AG06, Q9HCS7, M9NDE3, Q8K4Q0	255	1973	3158	1.2302714091211753	4.8622732264447244E-4	1.2158637399393325E-4	1.2120854188083837E-4
INTERPRO	IPR021109:Aspartic peptidase	10	3.7593984962406015	3.280441257334603E-7	P0CT39, P04323, P21328, P10394, P0CT40	254	15	3219	8.448818897637796	1.7712816791526365E-4	5.904794263202285E-5	5.806381025482247E-5
INTERPRO	IPR024648:Peptidase A2E, retrotransposon	8	3.007518796992481	5.374654529674523E-7	P0CT39, P0CT40	254	9	3219	11.26509186351706	2.901893095070829E-4	7.255783615060606E-5	7.134853888142929E-5
UP_KW_MOLECULAR_FUNCTION	KW-0064~Aspartyl protease	10	3.7593984962406015	9.002913176963326E-7	P0CT39, P04323, P21328, P10394, P0CT40	186	16	2273	7.637768817204301	4.951481886483755E-5	2.4758011236649146E-5	1.9806408989319316E-5
