Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	97	56.06936416184971	1.417340478414412E-10	Q3MII6, Q61315, P27398, O00507, O95714, Q02384, Q9VT28, Q8IZQ1, Q9VCE9, P11369, A5YKK6, Q5NCX5, Q99NH0, F1RD40, Q99323, P86049, Q7TPH6, Q0IJ05, P46863, Q92614, P26016, Q8IZD9, A1A4S6, Q4KLU7, Q9D9R9, Q15149, Q13884, Q9ULK2, Q6GQQ9, Q9VZX9, Q642P2, Q6P1C6, A2AJ88, O60610, Q6DE97, Q27409, Q15075, A7E305, Q8CJ19, Q8BL06, Q8NFA0, P49880, Q9ULT8, Q60520, Q9JKB5, Q8C170, Q9UPP1, Q96DX4, Q9VS29, Q9W0K7, Q5TM26, Q03173, Q25434, O60268, Q5HY64, Q7Z6Z7, Q8IYD8, Q9U6A0, Q9VM71, A0A0R4IES7, Q6ZQ08, Q9UPU5, Q8INR6, O94972, Q9VCH5, Q49AJ0, Q5T4S7, Q9Y6R4, Q9NDJ2, O74423, P70398, Q5NVC7, Q8BXR9, C0HL13, P11799, Q7JM44, F1QN54, Q9GSR1, Q23551, Q9Y6J0, Q6I6G8, Q8BY87, Q7YU81, M9MRD1, B4F6I5, Q4KMP7, Q9VCY8, Q2TL32, B1AY13, P25439, O46385, M9NDE3, Q9P2E9, P57080, Q8K4Q0	170	1058	3158	1.7031357722673188	2.0310490012054316E-7	2.0310489055678524E-7	2.0282142246110238E-7
GOTERM_MF_DIRECT	GO:0005515~protein binding	72	41.61849710982659	3.0539330682761264E-7	Q3MII6, Q62203, Q61315, Q9H2M9, O95714, Q8TB40, Q02384, Q9VT28, Q8IZQ1, A5YKK6, P92208, Q12829, F1RD40, P86049, Q8CJG1, Q99323, Q7TPH6, P46863, Q92614, Q8IZD9, A1A4S6, Q4KLU7, Q15149, Q13884, Q9ULK2, Q6GQQ9, P36975, Q99LG2, Q8C547, O60610, Q01433, Q15075, Q8NFA0, Q9ULT8, Q60520, Q86MI0, P60517, Q12768, P26043, Q9UPP1, O75564, Q9W0K7, O75165, Q03173, Q7KRI2, Q7Z6Z7, Q8IYD8, Q01989, Q6ZQ08, Q9UPU5, O94972, Q9VCH5, Q5T4S7, Q9Y6R4, P70550, Q9NDJ2, P70398, C0HL13, P11799, Q9GSR1, Q9Y6J0, Q8TBR7, Q7YU81, M9MRD1, Q4KMP7, Q9NZR2, A2AG06, P25439, O46385, O14733, Q8K4Q0	155	819	2979	1.6896136121942575	8.459038095087745E-5	8.45939459912487E-5	8.123461961614496E-5
INTERPRO	IPR001394:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2	9	5.202312138728324	3.6509494366948254E-7	Q8BY87, Q9UPU5, Q9MAQ3, O00507, B1AY13, P70398, Q8BL06, Q8NFA0, P57080	166	16	3219	10.907756024096386	1.4164683116335564E-4	1.4165683814375922E-4	1.3910117353807284E-4
UP_SEQ_FEATURE	DOMAIN:USP	9	5.202312138728324	5.091278233716531E-7	Q8BY87, Q9UPU5, Q9MAQ3, O00507, B1AY13, P70398, Q8BL06, Q8NFA0, P57080	170	16	3158	10.449264705882353	7.293142775423034E-4	3.647900854457895E-4	3.642809576224178E-4
GOTERM_BP_DIRECT	GO:0016579~protein deubiquitination	10	5.780346820809249	2.0749642703520356E-6	Q8BY87, Q9UPU5, Q9MAQ3, O00507, Q6GQQ9, B1AY13, P70398, Q8BL06, Q8NFA0, P57080	158	25	3042	7.701265822784811	0.0020666031529630313	0.0020687393775409794	0.0020687393775409794
UP_SEQ_FEATURE	REGION:Disordered	134	77.45664739884393	2.5479409741604903E-6	Q61315, O95714, Q28G26, Q9VT28, Q8IZQ1, A5YKK6, Q12829, Q5NCX5, F1RD40, P86049, Q7TPH6, Q9NBX4, Q8N584, Q92614, P26016, A1A4S6, Q4KLU7, Q9D9R9, Q15149, Q13884, Q9VZX9, A2SXS5, Q642P2, Q6P1C6, Q99LG2, O60610, Q27409, A7E305, Q8CJ19, Q8BL06, Q96WV6, Q8NFA0, P49880, Q9JKB5, Q8C170, D0FH76, Q9UPP1, Q96DX4, Q9VS29, Q9W0K7, Q08CX2, O60268, Q7Z6Z7, Q8BX70, Q8IYD8, Q01989, Q9VM71, Q6ZQ08, Q9Y6R4, P49596, O74423, P70398, Q5NVC7, P11799, Q7JM44, Q9GSR1, Q9Y6J0, B3EWZ6, Q6I6G8, Q8BR27, Q8BY87, Q7YU81, B4F6I5, Q4KMP7, Q2TL32, B1AY13, P25439, O46385, O14733, Q9P2E9, P57080, Q3MII6, Q62203, A2RRU4, Q9H2M9, P27398, O00507, Q02384, Q9VCE9, P11369, P21328, Q99NH0, Q99323, Q8CJG1, Q8CG09, Q0IJ05, P46863, Q8IZD9, P04323, Q28ET8, Q9ULK2, Q6GQQ9, A2AJ88, Q8C547, Q6DE97, Q01433, Q15075, Q9ULT8, Q60520, Q86MI0, P26043, O75564, Q96LT4, Q5TM26, Q03173, Q25434, Q8BMF3, Q5HY64, A8E7C5, Q9U6A0, A0A0R4IES7, Q9UPU5, Q8INR6, A0JP85, O94972, Q9VCH5, Q49AJ0, Q9MAQ3, Q5T4S7, Q9NDJ2, Q9VW71, Q0V8K7, Q8BXR9, C0HL13, F1QN54, Q23551, Q8TBR7, M9MRD1, P0C5Y8, Q9VCY8, A2AG06, M9NDE3, Q8K4Q0	170	1973	3158	1.261655883843654	0.003644546527139414	0.001217066471990661	0.0012153678446745538
INTERPRO	IPR016024:Armadillo-type fold	20	11.560693641618498	3.1929104259234573E-6	Q9ULT8, Q9UPU5, Q5T4S7, Q61315, O00507, Q96DX4, P70398, Q9VT28, Q8IZQ1, O75165, Q99LG2, Q8C547, O60610, Q7Z6Z7, Q8I8U7, B1AY13, Q2TL32, Q8IZD9, Q4KLU7, Q8K4Q0	166	114	3219	3.4020291693088143	0.0012380841636507878	4.817390819528736E-4	4.730479129485691E-4
UP_KW_MOLECULAR_FUNCTION	KW-0009~Actin-binding	14	8.092485549132949	3.54759716740536E-6	Q13884, Q8C170, Q15149, P26043, Q03173, O60610, M9MRD1, Q99323, F1PRN2, O46385, Q8CJ19, Q92614, Q01989	121	56	2273	4.696280991735538	1.738174615393273E-4	1.7383226120286263E-4	1.5609427536583583E-4
INTERPRO	IPR018200:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site	8	4.624277456647398	3.7247867161304655E-6	Q8BY87, Q9UPU5, Q9MAQ3, O00507, B1AY13, P70398, Q8NFA0, P57080	166	15	3219	10.342168674698797	0.0014441761100256745	4.817390819528736E-4	4.730479129485691E-4
GOTERM_MF_DIRECT	GO:0004843~thiol-dependent ubiquitin-specific protease activity	10	5.780346820809249	6.1942297690466925E-6	Q8BY87, Q9UPU5, Q9MAQ3, O00507, Q6GQQ9, B1AY13, P70398, Q8BL06, Q8NFA0, P57080	155	28	2979	6.86405529953917	0.0017143358048331558	8.579008230129669E-4	8.238325592832101E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0833~Ubl conjugation pathway	24	13.872832369942195	7.171023944254231E-6	Q9ULT8, O94972, Q9UPU5, Q9MAQ3, Q5T4S7, O95714, O00507, Q6GQQ9, P70398, Q5NVC7, Q12829, Q6I6G8, Q8BY87, Q5NCX5, F1RD40, Q7TPH6, Q7Z6Z7, B1AY13, Q9D0A0, Q2TL32, A7E305, Q8NFA0, P57080	106	165	1986	2.7252144082332763	4.5167409286694937E-4	4.5177450848801656E-4	4.5177450848801656E-4
UP_KW_CELLULAR_COMPONENT	KW-0963~Cytoplasm	78	45.08670520231214	2.1502020881810006E-5	Q3MII6, Q61315, Q9H2M9, O95714, O00507, Q28G26, Q8IZQ1, Q9VCE9, A5YKK6, P92208, Q5NCX5, Q99NH0, F1RD40, P86049, Q8CJG1, Q99323, Q7TPH6, F1PRN2, P46863, Q92614, Q8IZD9, A1A4S6, Q15149, Q13884, Q6GQQ9, Q99LG2, Q8C547, O60610, Q6DE97, Q8I8U7, Q15075, A7E305, Q8CJ19, Q8NFA0, Q86MI0, Q8C170, P60517, D0FH76, Q6NZW8, D3ZVV1, Q12768, P26043, P15305, Q5TM26, Q03173, Q08CX2, O60268, Q7Z6Z7, Q01989, Q6ZQ08, A0JP85, O94972, Q80YA7, Q5T4S7, Q9Y6R4, Q569C4, O74423, P70398, Q5NVC7, Q0V8K7, Q8BXR9, P11799, F1QN54, Q23551, Q6I6G8, Q8BY87, M9MRD1, Q4KMP7, Q4LBC7, A2AG06, Q2TL32, O46385, O14733, P57080, Q8K4Q0	144	1049	2827	1.459763266603114	7.093226294455635E-4	7.095666890997302E-4	6.665626473361102E-4
GOTERM_CC_DIRECT	GO:0005829~cytosol	62	35.83815028901734	3.216817033524112E-5	Q9H2M9, O95714, O00507, Q28G26, Q8IZQ1, Q9VCE9, A5YKK6, P92208, Q8CJG1, Q99323, Q7TPH6, F1PRN2, Q0IJ05, Q8IZD9, A1A4S6, Q15149, Q6GQQ9, Q9VZX9, Q642P2, Q8C547, O60610, Q01433, Q15075, A7E305, Q8CJ19, Q8NFA0, Q9JKB5, Q86MI0, P60517, Q12768, P26043, Q96LT4, Q5TM26, O75165, Q03173, Q7Z6Z7, Q8BX70, Q01989, Q6ZQ08, Q9UPU5, O94972, Q80YA7, Q5T4S7, Q569C4, P70398, Q5NVC7, Q8BXR9, P11799, Q9Y6J0, Q8BY87, M9MRD1, Q4KMP7, P0C5Y8, B1AY13, Q2TL32, O46385, O14733, P57080, Q8K4Q0	162	746	3123	1.6021745606196007	0.008584152264206169	0.00862106964984462	0.008556733309174138
UP_KW_MOLECULAR_FUNCTION	KW-0788~Thiol protease	10	5.780346820809249	5.206785047467355E-5	Q8BY87, Q9UPU5, Q9MAQ3, P27398, O00507, Q6GQQ9, B1AY13, P70398, Q8NFA0, P57080	121	35	2273	5.367178276269185	0.002548139064617372	0.001275662336629502	0.0011454927104428182
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	73	42.19653179190752	6.0203191871863246E-5	A2RRU4, Q61315, P27398, O95714, Q28G26, Q02384, Q9VT28, Q8IZQ1, Q9VCE9, A5YKK6, F1RD40, Q99323, Q7TPH6, P46863, Q8N584, Q92614, Q8IZD9, A1A4S6, Q4KLU7, Q9D9R9, Q15149, Q9ULK2, Q6GQQ9, A2SXS5, Q642P2, Q6P1C6, O60610, Q01433, Q15075, A7E305, Q8BL06, Q8CJ19, Q9ULT8, Q9JKB5, Q8C170, P26043, Q9UPP1, O75564, Q9W0K7, Q5TM26, Q03173, O60268, Q5HY64, Q7Z6Z7, Q8BX70, Q8IYD8, Q9VM71, A0A0R4IES7, Q8INR6, O94972, Q9VCH5, Q5T4S7, Q9NDJ2, O74423, Q0V8K7, P11799, Q7JM44, Q9GSR1, Q23551, Q9Y6J0, Q8TBR7, Q6I6G8, Q8BY87, Q7YU81, M9MRD1, B4F6I5, Q4KMP7, Q2TL32, P25439, O46385, O14733, Q9P2E9, Q8K4Q0	170	911	3158	1.488564602569897	0.08265694504633747	0.021567793488095007	0.021537691892159077
