"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","10.00%","3","19","24","3543","6.30e-3","1.70e-1","23.31","1.57e-1","1.70e-1","2.47e-4"
"GOTERM_BP_DIRECT","female meiotic nuclear division","6.67%","2","29","3","5659","1.48e-2","1.00e+0","130.09","8.91e-1","1.00e+0","7.58e-5"
"KEGG_PATHWAY","Metabolic pathways","6.67%","2","14","4","2776","1.86e-2","1.00e+0","99.14","6.44e-1","1.00e+0","1.41e-4"
"SMART","RRM","10.00%","3","11","74","3019","2.35e-2","2.52e-1","11.13","2.66e-1","2.33e-1","2.03e-3"
"GOTERM_CC_DIRECT","actomyosin","6.67%","2","30","5","5845","2.46e-2","1.00e+0","77.93","8.70e-1","1.00e+0","2.52e-4"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","10.00%","3","19","49","3543","2.49e-2","3.36e-1","11.42","4.94e-1","3.36e-1","2.06e-3"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","16.67%","5","30","238","5845","2.86e-2","1.00e+0","4.09","9.07e-1","1.00e+0","6.64e-3"
"GOTERM_MF_DIRECT","NADH dehydrogenase (ubiquinone) activity","6.67%","2","28","6","5577","2.87e-2","1.00e+0","66.39","9.16e-1","1.00e+0","3.60e-4"
"UP_SEQ_FEATURE","DOMAIN:Myosin N-terminal SH3-like","6.67%","2","26","9","5763","3.84e-2","1.00e+0","49.26","9.94e-1","1.00e+0","6.91e-4"
"INTERPRO","Myosin_N","6.67%","2","30","9","6002","4.27e-2","1.00e+0","44.46","9.98e-1","1.00e+0","8.51e-4"
"UP_KW_LIGAND","Ubiquinone","6.67%","2","14","9","2635","4.36e-2","6.54e-1","41.83","4.88e-1","6.54e-1","9.24e-4"
"GOTERM_BP_DIRECT","mitochondrial electron transport, NADH to ubiquinone","6.67%","2","29","9","5659","4.37e-2","1.00e+0","43.36","9.99e-1","1.00e+0","8.93e-4"
"UP_SEQ_FEATURE","DOMAIN:RRM","10.00%","3","26","81","5763","4.75e-2","1.00e+0","8.21","9.98e-1","1.00e+0","5.51e-3"
"SMART","IQ","6.67%","2","11","16","3019","5.18e-2","2.52e-1","34.31","4.99e-1","2.33e-1","1.41e-3"
"INTERPRO","RRM_dom","10.00%","3","30","80","6002","5.65e-2","1.00e+0","7.50","1.00e+0","1.00e+0","7.15e-3"
"SMART","MYSc","6.67%","2","11","18","3019","5.81e-2","2.52e-1","30.49","5.41e-1","2.33e-1","1.79e-3"
"UP_SEQ_FEATURE","DOMAIN:RRM 3","6.67%","2","26","15","5763","6.32e-2","1.00e+0","29.55","1.00e+0","1.00e+0","1.98e-3"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","26.67%","8","29","689","5258","6.44e-2","1.00e+0","2.11","7.36e-1","1.00e+0","2.88e-2"
"GOTERM_CC_DIRECT","respiratory chain complex I","6.67%","2","30","15","5845","7.20e-2","1.00e+0","25.98","9.98e-1","1.00e+0","2.57e-3"
"UP_SEQ_FEATURE","DOMAIN:Myosin motor","6.67%","2","26","18","5763","7.54e-2","1.00e+0","24.63","1.00e+0","1.00e+0","2.86e-3"
"GOTERM_MF_DIRECT","structural constituent of ribosome","10.00%","3","28","95","5577","7.65e-2","1.00e+0","6.29","9.99e-1","1.00e+0","1.15e-2"
"INTERPRO","IQ_motif_EF-hand-BS","6.67%","2","30","17","6002","7.91e-2","1.00e+0","23.54","1.00e+0","1.00e+0","3.14e-3"
"INTERPRO","Nucleotide-bd_a/b_plait_sf","10.00%","3","30","97","6002","7.92e-2","1.00e+0","6.19","1.00e+0","1.00e+0","1.21e-2"
"INTERPRO","RBD_domain_sf","10.00%","3","30","98","6002","8.06e-2","1.00e+0","6.12","1.00e+0","1.00e+0","1.25e-2"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","16.67%","5","26","384","5763","8.09e-2","1.00e+0","2.89","1.00e+0","1.00e+0","2.63e-2"
"INTERPRO","Myosin_head_motor_dom-like","6.67%","2","30","18","6002","8.36e-2","1.00e+0","22.23","1.00e+0","1.00e+0","3.52e-3"
"GOTERM_CC_DIRECT","myosin complex","6.67%","2","30","20","5845","9.48e-2","1.00e+0","19.48","1.00e+0","1.00e+0","4.57e-3"
"GOTERM_MF_DIRECT","cytoskeletal motor activity","6.67%","2","28","21","5577","9.71e-2","1.00e+0","18.97","1.00e+0","1.00e+0","4.81e-3"

