"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","17.65%","3","11","24","3543","1.91e-3","3.83e-2","40.26","3.76e-2","3.83e-2","4.35e-5"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","29.41%","5","17","238","5845","3.31e-3","2.05e-1","7.22","1.86e-1","2.05e-1","4.44e-4"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","29.41%","5","13","384","5763","6.25e-3","3.75e-1","5.77","3.14e-1","3.75e-1","1.05e-3"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","17.65%","3","11","49","3543","7.86e-3","7.86e-2","19.72","1.46e-1","7.86e-2","3.80e-4"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","41.18%","7","16","689","5258","8.68e-3","9.55e-2","3.34","9.15e-2","9.55e-2","2.52e-3"
"UP_KW_PTM","Acetylation","41.18%","7","9","1077","3694","9.63e-3","4.81e-2","2.67","3.80e-2","4.81e-2","3.55e-3"
"UP_KW_DOMAIN","Transit peptide","29.41%","5","11","394","3850","1.37e-2","9.62e-2","4.44","9.23e-2","9.62e-2","3.00e-3"
"GOTERM_MF_DIRECT","NADH dehydrogenase (ubiquinone) activity","11.76%","2","16","6","5577","1.60e-2","9.27e-1","116.19","6.83e-1","9.27e-1","1.15e-4"
"GOTERM_BP_DIRECT","mitochondrial electron transport, NADH to ubiquinone","11.76%","2","16","9","5659","2.36e-2","1.00e+0","78.60","8.84e-1","1.00e+0","2.67e-4"
"UP_KW_LIGAND","Ubiquinone","11.76%","2","8","9","2635","2.37e-2","2.84e-1","73.19","2.50e-1","2.84e-1","2.87e-4"
"GOTERM_MF_DIRECT","structural constituent of ribosome","17.65%","3","16","95","5577","2.61e-2","9.27e-1","11.01","8.47e-1","9.27e-1","2.28e-3"
"GOTERM_CC_DIRECT","respiratory chain complex I","11.76%","2","17","15","5845","4.03e-2","9.50e-1","45.84","9.22e-1","9.50e-1","8.18e-4"
"UP_KW_MOLECULAR_FUNCTION","Ribosomal protein","17.65%","3","14","100","3890","4.24e-2","9.76e-1","8.34","6.31e-1","9.76e-1","4.88e-3"
"GOTERM_CC_DIRECT","mitochondrion","35.29%","6","17","756","5845","4.60e-2","9.50e-1","2.73","9.46e-1","9.50e-1","1.61e-2"
"GOTERM_CC_DIRECT","nuclear speck","17.65%","3","17","151","5845","6.28e-2","9.73e-1","6.83","9.82e-1","9.73e-1","8.81e-3"
"UP_KW_BIOLOGICAL_PROCESS","Transport","35.29%","6","11","864","3543","7.09e-2","4.73e-1","2.24","7.70e-1","4.73e-1","3.03e-2"
"SMART","RRM","11.76%","2","4","74","3019","7.18e-2","3.59e-1","20.40","3.11e-1","3.59e-1","3.45e-3"
"UP_KW_MOLECULAR_FUNCTION","Ribonucleoprotein","17.65%","3","14","150","3890","8.72e-2","1.00e+0","5.56","8.77e-1","1.00e+0","1.50e-2"
"GOTERM_CC_DIRECT","mitochondrial large ribosomal subunit","11.76%","2","17","38","5845","9.92e-2","1.00e+0","18.10","9.98e-1","1.00e+0","5.26e-3"

