"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"INTERPRO","ARM-type_fold","16.13%","10","62","206","6002","2.04e-4","5.86e-2","4.70","5.69e-2","5.86e-2","4.12e-5"
"GOTERM_BP_DIRECT","sarcomere organization","6.45%","4","61","24","5659","1.96e-3","7.83e-1","15.46","5.43e-1","7.83e-1","1.11e-4"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","32.26%","20","60","963","5763","2.48e-3","3.47e-1","1.99","6.69e-1","3.47e-1","1.20e-3"
"UP_KW_PTM","Disulfide bond","27.42%","17","45","660","3694","2.61e-3","3.13e-2","2.11","2.83e-2","3.13e-2","1.19e-3"
"INTERPRO","ConA-like_dom_sf","8.06%","5","62","68","6002","4.84e-3","5.41e-1","7.12","7.52e-1","5.41e-1","6.32e-4"
"UP_SEQ_FEATURE","COMPBIAS:Pro residues","19.35%","12","60","453","5763","5.53e-3","3.47e-1","2.54","9.15e-1","3.47e-1","2.07e-3"
"GOTERM_BP_DIRECT","protein branched polyubiquitination","4.84%","3","61","12","5659","6.81e-3","1.00e+0","23.19","9.35e-1","1.00e+0","2.45e-4"
"UP_SEQ_FEATURE","DOMAIN:EGF-like 2","6.45%","4","60","42","5763","8.82e-3","3.47e-1","9.15","9.81e-1","3.47e-1","8.84e-4"
"UP_SEQ_FEATURE","TRANSMEM:Helical","37.10%","23","60","1354","5763","1.18e-2","3.47e-1","1.63","9.95e-1","3.47e-1","6.94e-3"
"UP_SEQ_FEATURE","DOMAIN:EGF-like 1","6.45%","4","60","47","5763","1.20e-2","3.47e-1","8.17","9.95e-1","3.47e-1","1.36e-3"
"INTERPRO","Calcineurin-like_PHP_ApaH","4.84%","3","62","17","6002","1.25e-2","5.41e-1","17.08","9.73e-1","5.41e-1","6.44e-4"
"UP_KW_DOMAIN","Signal","27.42%","17","46","790","3850","1.35e-2","2.16e-1","1.80","1.96e-1","2.03e-1","7.19e-3"
"GOTERM_BP_DIRECT","symbiont entry into host cell","4.84%","3","61","17","5659","1.36e-2","1.00e+0","16.37","9.96e-1","1.00e+0","7.28e-4"
"INTERPRO","Metallo-depent_PP-like","4.84%","3","62","18","6002","1.40e-2","5.41e-1","16.13","9.83e-1","5.41e-1","7.67e-4"
"GOTERM_CC_DIRECT","membrane","37.10%","23","60","1412","5845","1.63e-2","1.00e+0","1.59","8.30e-1","1.00e+0","9.86e-3"
"INTERPRO","Ig_sub2","6.45%","4","62","55","6002","1.80e-2","5.41e-1","7.04","9.95e-1","5.41e-1","2.37e-3"
"UP_KW_PTM","Glycoprotein","32.26%","20","45","1019","3694","1.82e-2","1.09e-1","1.61","1.83e-1","1.09e-1","1.09e-2"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 5","4.84%","3","60","21","5763","1.91e-2","3.47e-1","13.72","1.00e+0","3.47e-1","1.25e-3"
"INTERPRO","UBR4-like_UBR-box","3.23%","2","62","2","6002","2.02e-2","5.41e-1","96.81","9.97e-1","5.41e-1","1.05e-4"
"INTERPRO","SPRY_hnRNP_U","3.23%","2","62","2","6002","2.02e-2","5.41e-1","96.81","9.97e-1","5.41e-1","1.05e-4"
"INTERPRO","E3_Ub_ligase_UBR4_C","3.23%","2","62","2","6002","2.02e-2","5.41e-1","96.81","9.97e-1","5.41e-1","1.05e-4"
"INTERPRO","E3_UBR4_N","3.23%","2","62","2","6002","2.02e-2","5.41e-1","96.81","9.97e-1","5.41e-1","1.05e-4"
"INTERPRO","UBR4-like","3.23%","2","62","2","6002","2.02e-2","5.41e-1","96.81","9.97e-1","5.41e-1","1.05e-4"
"UP_SEQ_FEATURE","REGION:5 X 3 AA repeats of R-G-G","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","REGION:Necessary for transcription repression","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","REGION:UBR4 E3 catalytic module","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","REGION:Necessary for interaction with BRD7 and transcriptional activation","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","REGION:Necessary for interaction with HRMT1L1","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","DOMAIN:UZI","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","ZN_FING:HemiRING-type","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"UP_SEQ_FEATURE","REGION:Necessary for interaction with TP53","3.23%","2","60","2","5763","2.04e-2","3.47e-1","96.05","1.00e+0","3.47e-1","1.07e-4"
"INTERPRO","Ig_sub","6.45%","4","62","58","6002","2.07e-2","5.41e-1","6.68","9.98e-1","5.41e-1","2.89e-3"
"GOTERM_BP_DIRECT","Golgi vesicle budding","3.23%","2","61","2","5659","2.11e-2","1.00e+0","92.77","1.00e+0","1.00e+0","1.14e-4"
"INTERPRO","Ig-like_dom_sf","6.45%","4","62","60","6002","2.27e-2","5.42e-1","6.45","9.99e-1","5.42e-1","3.27e-3"
"SMART","IGc2","6.45%","4","35","55","3019","2.30e-2","5.74e-1","6.27","6.49e-1","5.62e-1","3.40e-3"
"INTERPRO","Ig-like_dom","6.45%","4","62","62","6002","2.47e-2","5.46e-1","6.25","9.99e-1","5.46e-1","3.68e-3"
"SMART","IG","6.45%","4","35","58","3019","2.64e-2","5.74e-1","5.95","7.00e-1","5.62e-1","4.12e-3"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 4","4.84%","3","60","25","5763","2.66e-2","3.47e-1","11.53","1.00e+0","3.47e-1","2.10e-3"
"UP_KW_DOMAIN","Immunoglobulin domain","6.45%","4","46","58","3850","2.94e-2","2.32e-1","5.77","3.80e-1","2.18e-1","4.73e-3"
"INTERPRO","Protocadherin/Cadherin-CA","3.23%","2","62","3","6002","3.02e-2","6.19e-1","64.54","1.00e+0","6.19e-1","3.13e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 12","3.23%","2","60","3","5763","3.04e-2","3.47e-1","64.03","1.00e+0","3.47e-1","3.18e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 10","3.23%","2","60","3","5763","3.04e-2","3.47e-1","64.03","1.00e+0","3.47e-1","3.18e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like 21","3.23%","2","60","3","5763","3.04e-2","3.47e-1","64.03","1.00e+0","3.47e-1","3.18e-4"
