"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","mRNA processing","17.57%","13","74","139","5659","1.53e-7","5.72e-5","7.15","5.72e-5","5.72e-5","1.96e-8"
"GOTERM_BP_DIRECT","RNA splicing","14.86%","11","74","103","5659","6.15e-7","9.19e-5","8.17","2.30e-4","9.19e-5","6.82e-8"
"GOTERM_BP_DIRECT","mRNA splicing, via spliceosome","14.86%","11","74","105","5659","7.37e-7","9.19e-5","8.01","2.76e-4","9.19e-5","8.35e-8"
"GOTERM_BP_DIRECT","regulation of mRNA splicing, via spliceosome","4.05%","3","74","10","5659","6.91e-3","6.46e-1","22.94","9.25e-1","6.46e-1","2.41e-4"
"GOTERM_BP_DIRECT","regulation of alternative mRNA splicing, via spliceosome","5.41%","4","74","36","5659","1.08e-2","8.11e-1","8.50","9.83e-1","8.11e-1","1.16e-3"
"GOTERM_BP_DIRECT","defense response to virus","5.41%","4","74","45","5659","1.98e-2","9.13e-1","6.80","9.99e-1","9.13e-1","2.68e-3"
"GOTERM_BP_DIRECT","slow axonal transport","2.70%","2","74","2","5659","2.56e-2","9.13e-1","76.47","1.00e+0","9.13e-1","1.69e-4"
"GOTERM_BP_DIRECT","late endosomal microautophagy","2.70%","2","74","2","5659","2.56e-2","9.13e-1","76.47","1.00e+0","9.13e-1","1.69e-4"
"GOTERM_BP_DIRECT","chaperone-mediated autophagy translocation complex disassembly","2.70%","2","74","2","5659","2.56e-2","9.13e-1","76.47","1.00e+0","9.13e-1","1.69e-4"
"GOTERM_BP_DIRECT","protein targeting to lysosome involved in chaperone-mediated autophagy","2.70%","2","74","2","5659","2.56e-2","9.13e-1","76.47","1.00e+0","9.13e-1","1.69e-4"
"GOTERM_BP_DIRECT","DNA replication initiation","4.05%","3","74","20","5659","2.68e-2","9.13e-1","11.47","1.00e+0","9.13e-1","2.09e-3"
"GOTERM_BP_DIRECT","negative regulation of supramolecular fiber organization","2.70%","2","74","4","5659","5.06e-2","1.00e+0","38.24","1.00e+0","1.00e+0","9.95e-4"
"GOTERM_BP_DIRECT","mitotic recombination","2.70%","2","74","4","5659","5.06e-2","1.00e+0","38.24","1.00e+0","1.00e+0","9.95e-4"
"GOTERM_BP_DIRECT","negative regulation of NLRP3 inflammasome complex assembly","2.70%","2","74","5","5659","6.29e-2","1.00e+0","30.59","1.00e+0","1.00e+0","1.64e-3"
"GOTERM_BP_DIRECT","clathrin coat disassembly","2.70%","2","74","5","5659","6.29e-2","1.00e+0","30.59","1.00e+0","1.00e+0","1.64e-3"
"GOTERM_BP_DIRECT","mitotic DNA replication initiation","2.70%","2","74","5","5659","6.29e-2","1.00e+0","30.59","1.00e+0","1.00e+0","1.64e-3"
"GOTERM_BP_DIRECT","cell division","8.11%","6","74","167","5659","6.35e-2","1.00e+0","2.75","1.00e+0","1.00e+0","2.14e-2"
"GOTERM_BP_DIRECT","RNA processing","4.05%","3","74","33","5659","6.70e-2","1.00e+0","6.95","1.00e+0","1.00e+0","8.84e-3"
"GOTERM_BP_DIRECT","U2-type prespliceosome assembly","2.70%","2","74","6","5659","7.50e-2","1.00e+0","25.49","1.00e+0","1.00e+0","2.45e-3"
