"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","dorsal/ventral axis specification","2.88%","3","102","7","5659","6.25e-3","1.00e+0","23.78","9.82e-1","1.00e+0","1.89e-4"
"GOTERM_CC_DIRECT","WASH complex","2.88%","3","102","8","5845","7.74e-3","1.00e+0","21.49","7.49e-1","1.00e+0","2.71e-4"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","3.85%","4","64","24","3543","8.31e-3","4.16e-1","9.23","3.41e-1","4.16e-1","7.85e-4"
"GOTERM_BP_DIRECT","mitochondrial electron transport, NADH to ubiquinone","2.88%","3","102","9","5659","1.05e-2","1.00e+0","18.49","9.99e-1","1.00e+0","4.41e-4"
"GOTERM_CC_DIRECT","peroxisome","5.77%","6","102","82","5845","1.33e-2","1.00e+0","4.19","9.08e-1","1.00e+0","2.92e-3"
"UP_KW_LIGAND","Ubiquinone","2.88%","3","55","9","2635","1.35e-2","3.52e-1","15.97","2.98e-1","3.52e-1","6.62e-4"
"PIR_SUPERFAMILY","SPT","1.92%","2","11","2","833","2.39e-2","2.39e-1","75.73","2.15e-1","2.39e-1","1.59e-4"
"GOTERM_CC_DIRECT","respiratory chain complex I","2.88%","3","102","15","5845","2.68e-2","1.00e+0","11.46","9.92e-1","1.00e+0","2.02e-3"
"GOTERM_BP_DIRECT","negative regulation of Notch signaling pathway","2.88%","3","102","15","5659","2.85e-2","1.00e+0","11.10","1.00e+0","1.00e+0","2.21e-3"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","5.77%","6","64","99","3543","3.01e-2","7.53e-1","3.36","7.83e-1","7.53e-1","8.28e-3"
"UP_KW_MOLECULAR_FUNCTION","Oxidoreductase","12.50%","13","76","345","3890","3.07e-2","1.00e+0","1.93","7.68e-1","1.00e+0","1.49e-2"
"GOTERM_BP_DIRECT","protein localization","4.81%","5","102","67","5659","3.11e-2","1.00e+0","4.14","1.00e+0","1.00e+0","6.88e-3"
"INTERPRO","CapZ_alpha/beta","1.92%","2","104","2","6002","3.40e-2","1.00e+0","57.71","1.00e+0","1.00e+0","2.97e-4"
"INTERPRO","CapZ_alpha/beta_2","1.92%","2","104","2","6002","3.40e-2","1.00e+0","57.71","1.00e+0","1.00e+0","2.97e-4"
"INTERPRO","SRSF","1.92%","2","104","2","6002","3.40e-2","1.00e+0","57.71","1.00e+0","1.00e+0","2.97e-4"
"INTERPRO","SP_NH2Trfase/AEP_transaminase","1.92%","2","104","2","6002","3.40e-2","1.00e+0","57.71","1.00e+0","1.00e+0","2.97e-4"
"GOTERM_CC_DIRECT","F-actin capping protein complex","1.92%","2","102","2","5845","3.43e-2","1.00e+0","57.30","9.98e-1","1.00e+0","3.02e-4"
"GOTERM_MF_DIRECT","L-serine-pyruvate transaminase activity","1.92%","2","99","2","5577","3.48e-2","1.00e+0","56.33","1.00e+0","1.00e+0","3.12e-4"
"GOTERM_BP_DIRECT","negative regulation of filopodium assembly","1.92%","2","102","2","5659","3.54e-2","1.00e+0","55.48","1.00e+0","1.00e+0","3.22e-4"
"UP_SEQ_FEATURE","DOMAIN:RRM","4.81%","5","96","81","5763","4.40e-2","1.00e+0","3.71","1.00e+0","1.00e+0","1.09e-2"
"GOTERM_BP_DIRECT","protein transport","8.65%","9","102","223","5659","4.49e-2","1.00e+0","2.24","1.00e+0","1.00e+0","1.86e-2"
"INTERPRO","PHM/PAL","1.92%","2","104","3","6002","5.06e-2","1.00e+0","38.47","1.00e+0","1.00e+0","8.82e-4"
"GOTERM_MF_DIRECT","peptidylglycine monooxygenase activity","1.92%","2","99","3","5577","5.18e-2","1.00e+0","37.56","1.00e+0","1.00e+0","9.25e-4"
"GOTERM_MF_DIRECT","histone H3K36me/H3K36me2 demethylase activity","1.92%","2","99","3","5577","5.18e-2","1.00e+0","37.56","1.00e+0","1.00e+0","9.25e-4"
"GOTERM_MF_DIRECT","3 iron, 4 sulfur cluster binding","1.92%","2","99","3","5577","5.18e-2","1.00e+0","37.56","1.00e+0","1.00e+0","9.25e-4"
"GOTERM_MF_DIRECT","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen","1.92%","2","99","3","5577","5.18e-2","1.00e+0","37.56","1.00e+0","1.00e+0","9.25e-4"
"GOTERM_MF_DIRECT","alanine-glyoxylate transaminase activity","1.92%","2","99","3","5577","5.18e-2","1.00e+0","37.56","1.00e+0","1.00e+0","9.25e-4"
"GOTERM_BP_DIRECT","glyoxylate catabolic process","1.92%","2","102","3","5659","5.26e-2","1.00e+0","36.99","1.00e+0","1.00e+0","9.54e-4"
"GOTERM_BP_DIRECT","female meiotic nuclear division","1.92%","2","102","3","5659","5.26e-2","1.00e+0","36.99","1.00e+0","1.00e+0","9.54e-4"
"GOTERM_BP_DIRECT","sensory organ precursor cell division","1.92%","2","102","3","5659","5.26e-2","1.00e+0","36.99","1.00e+0","1.00e+0","9.54e-4"
"GOTERM_BP_DIRECT","glycine biosynthetic process, by transamination of glyoxylate","1.92%","2","102","3","5659","5.26e-2","1.00e+0","36.99","1.00e+0","1.00e+0","9.54e-4"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","3.85%","4","64","49","3543","5.53e-2","9.22e-1","4.52","9.42e-1","9.22e-1","1.12e-2"
"KEGG_PATHWAY","Oxidative phosphorylation","1.92%","2","46","4","2776","6.33e-2","1.00e+0","30.17","1.00e+0","1.00e+0","1.58e-3"
"KEGG_PATHWAY","Metabolic pathways","1.92%","2","46","4","2776","6.33e-2","1.00e+0","30.17","1.00e+0","1.00e+0","1.58e-3"
"KEGG_PATHWAY","Lysine degradation","1.92%","2","46","4","2776","6.33e-2","1.00e+0","30.17","1.00e+0","1.00e+0","1.58e-3"
"KEGG_PATHWAY","Diabetic cardiomyopathy","1.92%","2","46","4","2776","6.33e-2","1.00e+0","30.17","1.00e+0","1.00e+0","1.58e-3"
"KEGG_PATHWAY","Metabolic pathways","3.85%","4","46","57","2776","6.35e-2","1.00e+0","4.23","1.00e+0","1.00e+0","1.37e-2"
"UP_SEQ_FEATURE","SITE:Critical for catalysis","1.92%","2","96","4","5763","6.43e-2","1.00e+0","30.02","1.00e+0","1.00e+0","1.61e-3"
"INTERPRO","Cu2_ascorb_mOase_CS-2","1.92%","2","104","4","6002","6.69e-2","1.00e+0","28.86","1.00e+0","1.00e+0","1.74e-3"
"INTERPRO","Aminotrans_V_PyrdxlP_BS","1.92%","2","104","4","6002","6.69e-2","1.00e+0","28.86","1.00e+0","1.00e+0","1.74e-3"
"GOTERM_CC_DIRECT","cortical cytoskeleton","1.92%","2","102","4","5845","6.74e-2","1.00e+0","28.65","1.00e+0","1.00e+0","1.77e-3"
"GOTERM_MF_DIRECT","histone H3K36 demethylase activity","1.92%","2","99","4","5577","6.85e-2","1.00e+0","28.17","1.00e+0","1.00e+0","1.83e-3"
"GOTERM_MF_DIRECT","histone H3K9 demethylase activity","1.92%","2","99","4","5577","6.85e-2","1.00e+0","28.17","1.00e+0","1.00e+0","1.83e-3"
"GOTERM_BP_DIRECT","epithelium development","1.92%","2","102","4","5659","6.95e-2","1.00e+0","27.74","1.00e+0","1.00e+0","1.89e-3"
"GOTERM_BP_DIRECT","regulation of lamellipodium assembly","1.92%","2","102","4","5659","6.95e-2","1.00e+0","27.74","1.00e+0","1.00e+0","1.89e-3"
"GOTERM_MF_DIRECT","iron ion binding","3.85%","4","99","56","5577","7.48e-2","1.00e+0","4.02","1.00e+0","1.00e+0","1.70e-2"
