"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_BP_DIRECT","dorsal/ventral axis specification","5.17%","3","57","7","5659","1.96e-3","8.69e-1","42.55","5.81e-1","8.69e-1","3.30e-5"
"GOTERM_BP_DIRECT","negative regulation of Notch signaling pathway","5.17%","3","57","15","5659","9.30e-3","1.00e+0","19.86","9.84e-1","1.00e+0","4.05e-4"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","8.62%","5","36","99","3543","1.55e-2","4.79e-1","4.97","3.83e-1","4.79e-1","2.92e-3"
"GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle","5.17%","3","57","26","5659","2.69e-2","1.00e+0","11.46","1.00e+0","1.00e+0","2.14e-3"
"GOTERM_BP_DIRECT","protein localization","6.90%","4","57","67","5659","2.82e-2","1.00e+0","5.93","1.00e+0","1.00e+0","4.43e-3"
"INTERPRO","PHM/PAL","3.45%","2","58","3","6002","2.82e-2","1.00e+0","68.99","1.00e+0","1.00e+0","2.74e-4"
"GOTERM_MF_DIRECT","peptidylglycine monooxygenase activity","3.45%","2","55","3","5577","2.88e-2","1.00e+0","67.60","9.91e-1","1.00e+0","2.85e-4"
"GOTERM_MF_DIRECT","histone H3K36me/H3K36me2 demethylase activity","3.45%","2","55","3","5577","2.88e-2","1.00e+0","67.60","9.91e-1","1.00e+0","2.85e-4"
"GOTERM_MF_DIRECT","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen","3.45%","2","55","3","5577","2.88e-2","1.00e+0","67.60","9.91e-1","1.00e+0","2.85e-4"
"GOTERM_BP_DIRECT","sensory organ precursor cell division","3.45%","2","57","3","5659","2.94e-2","1.00e+0","66.19","1.00e+0","1.00e+0","2.97e-4"
"GOTERM_BP_DIRECT","female meiotic nuclear division","3.45%","2","57","3","5659","2.94e-2","1.00e+0","66.19","1.00e+0","1.00e+0","2.97e-4"
"INTERPRO","Cu2_ascorb_mOase_CS-2","3.45%","2","58","4","6002","3.75e-2","1.00e+0","51.74","1.00e+0","1.00e+0","5.44e-4"
"GOTERM_MF_DIRECT","histone H3K9 demethylase activity","3.45%","2","55","4","5577","3.82e-2","1.00e+0","50.70","9.98e-1","1.00e+0","5.66e-4"
"GOTERM_MF_DIRECT","histone H3K36 demethylase activity","3.45%","2","55","4","5577","3.82e-2","1.00e+0","50.70","9.98e-1","1.00e+0","5.66e-4"
"GOTERM_BP_DIRECT","epithelium development","3.45%","2","57","4","5659","3.90e-2","1.00e+0","49.64","1.00e+0","1.00e+0","5.90e-4"
"GOTERM_BP_DIRECT","in utero embryonic development","6.90%","4","57","77","5659","4.01e-2","1.00e+0","5.16","1.00e+0","1.00e+0","7.26e-3"
"UP_KW_PTM","Gamma-carboxyglutamic acid","3.45%","2","34","5","3694","4.39e-2","5.27e-1","43.46","3.90e-1","5.27e-1","8.08e-4"
"GOTERM_BP_DIRECT","heparin proteoglycan biosynthetic process","3.45%","2","57","6","5659","5.79e-2","1.00e+0","33.09","1.00e+0","1.00e+0","1.46e-3"
"GOTERM_BP_DIRECT","cell adhesion","6.90%","4","57","90","5659","5.90e-2","1.00e+0","4.41","1.00e+0","1.00e+0","1.24e-2"
"INTERPRO","ABCA","3.45%","2","58","7","6002","6.46e-2","1.00e+0","29.57","1.00e+0","1.00e+0","1.87e-3"
"GOTERM_CC_DIRECT","extracellular space","10.34%","6","56","232","5845","6.58e-2","1.00e+0","2.70","1.00e+0","1.00e+0","2.27e-2"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 14","3.45%","2","58","7","5763","6.72e-2","1.00e+0","28.39","1.00e+0","1.00e+0","2.02e-3"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 11","3.45%","2","58","7","5763","6.72e-2","1.00e+0","28.39","1.00e+0","1.00e+0","2.02e-3"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 13","3.45%","2","58","7","5763","6.72e-2","1.00e+0","28.39","1.00e+0","1.00e+0","2.02e-3"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 10","3.45%","2","58","7","5763","6.72e-2","1.00e+0","28.39","1.00e+0","1.00e+0","2.02e-3"
"UP_SEQ_FEATURE","DOMAIN:Cadherin 12","3.45%","2","58","7","5763","6.72e-2","1.00e+0","28.39","1.00e+0","1.00e+0","2.02e-3"
"GOTERM_BP_DIRECT","trophectodermal cell differentiation","3.45%","2","57","7","5659","6.73e-2","1.00e+0","28.37","1.00e+0","1.00e+0","2.03e-3"
"GOTERM_BP_DIRECT","peptide metabolic process","3.45%","2","57","7","5659","6.73e-2","1.00e+0","28.37","1.00e+0","1.00e+0","2.03e-3"
"GOTERM_BP_DIRECT","T cell differentiation","3.45%","2","57","7","5659","6.73e-2","1.00e+0","28.37","1.00e+0","1.00e+0","2.03e-3"
"GOTERM_BP_DIRECT","spermatogenesis","6.90%","4","57","97","5659","7.06e-2","1.00e+0","4.09","1.00e+0","1.00e+0","1.60e-2"
"INTERPRO","PHM/PNGase_F_dom_sf","3.45%","2","58","8","6002","7.35e-2","1.00e+0","25.87","1.00e+0","1.00e+0","2.48e-3"
"INTERPRO","Cu2_ascorb_mOase_N_sf","3.45%","2","58","8","6002","7.35e-2","1.00e+0","25.87","1.00e+0","1.00e+0","2.48e-3"
"INTERPRO","Cu2_monoox_C","3.45%","2","58","8","6002","7.35e-2","1.00e+0","25.87","1.00e+0","1.00e+0","2.48e-3"
"INTERPRO","Cu2_ascorb_mOase-like_C","3.45%","2","58","8","6002","7.35e-2","1.00e+0","25.87","1.00e+0","1.00e+0","2.48e-3"
"INTERPRO","Cu2_ascorb_mOase_N","3.45%","2","58","8","6002","7.35e-2","1.00e+0","25.87","1.00e+0","1.00e+0","2.48e-3"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","39.66%","23","58","1669","5763","7.40e-2","1.00e+0","1.37","1.00e+0","1.00e+0","5.14e-2"
"GOTERM_MF_DIRECT","ubiquitin-protein transferase activity","6.90%","4","55","102","5577","7.54e-2","1.00e+0","3.98","1.00e+0","1.00e+0","1.76e-2"
