"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_DOMAIN","Transit peptide","21.74%","10","26","394","3850","5.15e-4","6.70e-3","3.76","6.68e-3","6.70e-3","1.32e-4"
"UP_KW_BIOLOGICAL_PROCESS","Respiratory chain","8.70%","4","28","24","3543","7.18e-4","2.44e-2","21.09","2.41e-2","2.44e-2","2.98e-5"
"GOTERM_BP_DIRECT","mitochondrial electron transport, NADH to ubiquinone","6.52%","3","45","9","5659","2.05e-3","4.68e-1","41.92","3.74e-1","4.68e-1","3.82e-5"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","19.57%","9","38","384","5763","2.51e-3","3.54e-1","3.55","2.99e-1","3.54e-1","6.79e-4"
"UP_KW_LIGAND","Ubiquinone","6.52%","3","26","9","2635","2.99e-3","7.17e-2","33.78","6.93e-2","7.17e-2","6.89e-5"
"GOTERM_CC_DIRECT","peroxisome","10.87%","5","46","82","5845","3.46e-3","2.52e-1","7.75","2.98e-1","2.50e-1","4.20e-4"
"UP_KW_PTM","Acetylation","34.78%","16","28","1077","3694","3.56e-3","3.20e-2","1.96","2.81e-2","3.20e-2","1.76e-3"
"UP_KW_CELLULAR_COMPONENT","Mitochondrion","28.26%","13","41","689","5258","3.93e-3","9.04e-2","2.42","8.66e-2","9.04e-2","1.56e-3"
"GOTERM_CC_DIRECT","respiratory chain complex I","6.52%","3","46","15","5845","5.71e-3","2.52e-1","25.41","4.42e-1","2.50e-1","1.94e-4"
"UP_KW_BIOLOGICAL_PROCESS","Electron transport","8.70%","4","28","49","3543","5.76e-3","9.79e-2","10.33","1.78e-1","9.79e-2","5.18e-4"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","15.22%","7","46","238","5845","9.20e-3","2.52e-1","3.74","6.10e-1","2.50e-1","2.34e-3"
"GOTERM_CC_DIRECT","mitochondrion","28.26%","13","46","756","5845","9.90e-3","2.52e-1","2.18","6.38e-1","2.50e-1","4.33e-3"
"INTERPRO","CapZ_alpha/beta_2","4.35%","2","46","2","6002","1.49e-2","7.17e-1","130.48","9.44e-1","7.17e-1","5.75e-5"
"INTERPRO","SP_NH2Trfase/AEP_transaminase","4.35%","2","46","2","6002","1.49e-2","7.17e-1","130.48","9.44e-1","7.17e-1","5.75e-5"
"INTERPRO","SRSF","4.35%","2","46","2","6002","1.49e-2","7.17e-1","130.48","9.44e-1","7.17e-1","5.75e-5"
"INTERPRO","CapZ_alpha/beta","4.35%","2","46","2","6002","1.49e-2","7.17e-1","130.48","9.44e-1","7.17e-1","5.75e-5"
"GOTERM_CC_DIRECT","F-actin capping protein complex","4.35%","2","46","2","5845","1.53e-2","3.13e-1","127.07","7.93e-1","3.10e-1","6.06e-5"
"GOTERM_MF_DIRECT","L-serine-pyruvate transaminase activity","4.35%","2","44","2","5577","1.54e-2","9.72e-1","126.75","8.60e-1","9.72e-1","6.08e-5"
"GOTERM_BP_DIRECT","negative regulation of filopodium assembly","4.35%","2","45","2","5659","1.55e-2","1.00e+0","125.76","9.72e-1","1.00e+0","6.18e-5"
"PIR_SUPERFAMILY","SPT","4.35%","2","8","2","833","1.67e-2","1.17e-1","104.13","1.11e-1","1.17e-1","8.08e-5"
"UP_KW_BIOLOGICAL_PROCESS","Transport","28.26%","13","28","864","3543","1.75e-2","1.98e-1","1.90","4.51e-1","1.98e-1","8.81e-3"
"GOTERM_MF_DIRECT","3 iron, 4 sulfur cluster binding","4.35%","2","44","3","5577","2.30e-2","9.72e-1","84.50","9.48e-1","9.72e-1","1.82e-4"
"GOTERM_MF_DIRECT","alanine-glyoxylate transaminase activity","4.35%","2","44","3","5577","2.30e-2","9.72e-1","84.50","9.48e-1","9.72e-1","1.82e-4"
"GOTERM_BP_DIRECT","glycine biosynthetic process, by transamination of glyoxylate","4.35%","2","45","3","5659","2.31e-2","1.00e+0","83.84","9.95e-1","1.00e+0","1.85e-4"
"GOTERM_BP_DIRECT","glyoxylate catabolic process","4.35%","2","45","3","5659","2.31e-2","1.00e+0","83.84","9.95e-1","1.00e+0","1.85e-4"
"INTERPRO","Aminotrans_V_PyrdxlP_BS","4.35%","2","46","4","6002","2.97e-2","1.00e+0","65.24","9.97e-1","1.00e+0","3.41e-4"
"GOTERM_CC_DIRECT","cortical cytoskeleton","4.35%","2","46","4","5845","3.04e-2","5.18e-1","63.53","9.57e-1","5.13e-1","3.60e-4"
"GOTERM_BP_DIRECT","regulation of lamellipodium assembly","4.35%","2","45","4","5659","3.07e-2","1.00e+0","62.88","9.99e-1","1.00e+0","3.67e-4"
"KEGG_PATHWAY","Oxidative phosphorylation","4.35%","2","26","4","2776","3.56e-2","1.00e+0","53.38","9.83e-1","1.00e+0","5.00e-4"
"KEGG_PATHWAY","Diabetic cardiomyopathy","4.35%","2","26","4","2776","3.56e-2","1.00e+0","53.38","9.83e-1","1.00e+0","5.00e-4"
"UP_KW_MOLECULAR_FUNCTION","Actin capping","4.35%","2","34","5","3890","4.17e-2","1.00e+0","45.76","7.65e-1","1.00e+0","7.30e-4"
"INTERPRO","Aminotrans_V_dom","4.35%","2","46","6","6002","4.42e-2","1.00e+0","43.49","1.00e+0","1.00e+0","8.45e-4"
"SMART","RRM","6.52%","3","15","74","3019","4.46e-2","8.03e-1","8.16","5.60e-1","8.03e-1","5.20e-3"
"GOTERM_MF_DIRECT","NADH dehydrogenase (ubiquinone) activity","4.35%","2","44","6","5577","4.54e-2","1.00e+0","42.25","9.97e-1","1.00e+0","8.94e-4"
"GOTERM_BP_DIRECT","barbed-end actin filament capping","4.35%","2","45","6","5659","4.58e-2","1.00e+0","41.92","1.00e+0","1.00e+0","9.09e-4"
"KEGG_PATHWAY","Prion disease","4.35%","2","26","6","2776","5.29e-2","1.00e+0","35.59","9.98e-1","1.00e+0","1.24e-3"
"KEGG_PATHWAY","Thermogenesis","4.35%","2","26","6","2776","5.29e-2","1.00e+0","35.59","9.98e-1","1.00e+0","1.24e-3"
"GOTERM_CC_DIRECT","WASH complex","4.35%","2","46","8","5845","6.00e-2","8.74e-1","31.77","9.98e-1","8.66e-1","1.65e-3"
"GOTERM_BP_DIRECT","proton motive force-driven mitochondrial ATP synthesis","4.35%","2","45","8","5659","6.06e-2","1.00e+0","31.44","1.00e+0","1.00e+0","1.68e-3"
"KEGG_PATHWAY","Parkinson disease","4.35%","2","26","7","2776","6.14e-2","1.00e+0","30.51","9.99e-1","1.00e+0","1.72e-3"
"UP_KW_LIGAND","NAD","8.70%","4","26","99","2635","6.50e-2","7.81e-1","4.09","8.01e-1","7.81e-1","1.48e-2"
"UP_KW_MOLECULAR_FUNCTION","Oxidoreductase","15.22%","7","34","345","3890","6.66e-2","1.00e+0","2.32","9.04e-1","1.00e+0","2.68e-2"
"GOTERM_MF_DIRECT","iron ion binding","6.52%","3","44","56","5577","6.88e-2","1.00e+0","6.79","1.00e+0","1.00e+0","9.49e-3"
"KEGG_PATHWAY","Huntington disease","4.35%","2","26","8","2776","6.99e-2","1.00e+0","26.69","1.00e+0","1.00e+0","2.28e-3"
"KEGG_PATHWAY","Chemical carcinogenesis - reactive oxygen species","4.35%","2","26","8","2776","6.99e-2","1.00e+0","26.69","1.00e+0","1.00e+0","2.28e-3"
"INTERPRO","FAD/NAD-binding_dom","4.35%","2","46","10","6002","7.25e-2","1.00e+0","26.10","1.00e+0","1.00e+0","2.49e-3"
"GOTERM_BP_DIRECT","aerobic respiration","4.35%","2","45","10","5659","7.51e-2","1.00e+0","25.15","1.00e+0","1.00e+0","2.67e-3"
"KEGG_PATHWAY","Amyotrophic lateral sclerosis","4.35%","2","26","10","2776","8.66e-2","1.00e+0","21.35","1.00e+0","1.00e+0","3.63e-3"
"GOTERM_BP_DIRECT","mRNA cis splicing, via spliceosome","4.35%","2","45","12","5659","8.95e-2","1.00e+0","20.96","1.00e+0","1.00e+0","3.88e-3"
"KEGG_PATHWAY","Metabolic pathways","6.52%","3","26","57","2776","9.20e-2","1.00e+0","5.62","1.00e+0","1.00e+0","1.53e-2"
"GOTERM_BP_DIRECT","protein transport","10.87%","5","45","223","5659","9.36e-2","1.00e+0","2.82","1.00e+0","1.00e+0","3.08e-2"
"UP_SEQ_FEATURE","DOMAIN:RRM","6.52%","3","38","81","5763","9.48e-2","1.00e+0","5.62","1.00e+0","1.00e+0","1.58e-2"
"KEGG_PATHWAY","Alzheimer disease","4.35%","2","26","11","2776","9.49e-2","1.00e+0","19.41","1.00e+0","1.00e+0","4.41e-3"

