"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_SEQ_FEATURE","COMPBIAS:Polar residues","45.57%","72","154","1669","5763","2.73e-6","2.14e-3","1.61","2.13e-3","2.13e-3","1.64e-6"
"UP_SEQ_FEATURE","TRANSMEM:Helical","38.61%","61","154","1354","5763","7.97e-6","3.12e-3","1.69","6.22e-3","3.11e-3","4.58e-6"
"GOTERM_BP_DIRECT","cell adhesion","7.59%","12","155","90","5659","2.77e-5","2.19e-2","4.87","2.72e-2","2.19e-2","5.04e-6"
"UP_KW_CELLULAR_COMPONENT","Cell junction","8.86%","14","147","122","5258","2.78e-5","8.34e-4","4.10","8.33e-4","7.78e-4","6.11e-6"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","19.62%","31","154","529","5763","4.31e-5","1.12e-2","2.19","3.32e-2","1.12e-2","1.87e-5"
"GOTERM_BP_DIRECT","lipid transport","5.70%","9","155","49","5659","4.38e-5","2.19e-2","6.71","4.28e-2","2.19e-2","5.53e-6"
"UP_KW_CELLULAR_COMPONENT","Membrane","53.16%","84","147","2196","5258","1.40e-4","2.10e-3","1.37","4.19e-3","1.96e-3","1.00e-4"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","7.59%","12","108","99","3543","1.55e-4","9.44e-3","3.98","9.40e-3","9.29e-3","3.49e-5"
"GOTERM_BP_DIRECT","response to endoplasmic reticulum stress","5.06%","8","155","44","5659","1.59e-4","5.27e-2","6.64","1.46e-1","5.27e-2","2.03e-5"
"GOTERM_CC_DIRECT","membrane","37.34%","59","157","1412","5845","1.60e-4","4.54e-2","1.56","4.44e-2","4.52e-2","9.95e-5"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","27.85%","44","154","963","5763","2.39e-4","4.69e-2","1.71","1.71e-1","4.68e-2","1.35e-4"
"UP_KW_CELLULAR_COMPONENT","Endosome","12.03%","19","147","258","5258","2.46e-4","2.46e-3","2.63","7.36e-3","2.30e-3","8.73e-5"
"INTERPRO","USP_CS","3.80%","6","158","27","6002","5.82e-4","2.16e-1","8.44","3.23e-1","2.16e-1","5.66e-5"
"UP_KW_BIOLOGICAL_PROCESS","Lipid transport","6.33%","10","108","82","3543","6.93e-4","2.12e-2","4.00","4.14e-2","2.08e-2","1.55e-4"
"UP_KW_CELLULAR_COMPONENT","Cell membrane","24.05%","38","147","798","5258","8.11e-4","6.08e-3","1.70","2.41e-2","5.68e-3","4.56e-4"
"INTERPRO","Peptidase_C19_UCH","3.80%","6","158","29","6002","8.21e-4","2.16e-1","7.86","4.24e-1","2.16e-1","8.70e-5"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","12.66%","20","97","356","3890","8.77e-4","2.06e-2","2.25","4.04e-2","1.84e-2","3.68e-4"
"UP_KW_MOLECULAR_FUNCTION","Developmental protein","12.66%","20","97","356","3890","8.77e-4","2.06e-2","2.25","4.04e-2","1.84e-2","3.68e-4"
"INTERPRO","USP_dom","3.80%","6","158","30","6002","9.64e-4","2.16e-1","7.60","4.77e-1","2.16e-1","1.06e-4"
"UP_SEQ_FEATURE","DOMAIN:USP","3.80%","6","154","30","5763","1.03e-3","1.61e-1","7.48","5.53e-1","1.61e-1","1.15e-4"
"GOTERM_MF_DIRECT","molecular sequestering activity","2.53%","4","144","9","5577","1.24e-3","3.82e-1","17.21","3.88e-1","3.82e-1","4.86e-5"
"GOTERM_MF_DIRECT","K11-linked deubiquitinase activity","1.90%","3","144","3","5577","1.93e-3","3.82e-1","38.73","5.35e-1","3.82e-1","1.69e-5"
"GOTERM_CC_DIRECT","adherens junction","4.43%","7","157","50","5845","1.98e-3","1.42e-1","5.21","4.30e-1","1.42e-1","3.34e-4"
"GOTERM_CC_DIRECT","lysosomal membrane","7.59%","12","157","149","5845","1.99e-3","1.42e-1","3.00","4.32e-1","1.42e-1","6.12e-4"
"INTERPRO","DUF3517","1.90%","3","158","3","6002","2.00e-3","2.94e-1","37.99","7.40e-1","2.94e-1","1.79e-5"
"GOTERM_CC_DIRECT","plasma membrane","29.75%","47","157","1153","5845","2.01e-3","1.42e-1","1.52","4.35e-1","1.42e-1","1.27e-3"
"GOTERM_BP_DIRECT","cell-cell adhesion mediated by cadherin","2.53%","4","155","10","5659","2.06e-3","4.11e-1","14.60","8.72e-1","4.11e-1","1.00e-4"
"GOTERM_BP_DIRECT","positive regulation of protein binding","2.53%","4","155","10","5659","2.06e-3","4.11e-1","14.60","8.72e-1","4.11e-1","1.00e-4"
"UP_SEQ_FEATURE","DOMAIN:DUF3517","1.90%","3","154","3","5763","2.06e-3","2.69e-1","37.42","8.02e-1","2.69e-1","1.87e-5"
"INTERPRO","PDZ_sf","4.43%","7","158","52","6002","2.19e-3","2.94e-1","5.11","7.71e-1","2.94e-1","3.79e-4"
"UP_KW_MOLECULAR_FUNCTION","Receptor","8.86%","14","97","221","3890","2.70e-3","4.23e-2","2.54","1.19e-1","3.78e-2","9.93e-4"
"UP_KW_PTM","Glycoprotein","29.11%","46","114","1019","3694","2.85e-3","5.41e-2","1.46","5.00e-2","5.41e-2","1.88e-3"
"UP_KW_DOMAIN","Repeat","36.08%","57","122","1323","3850","3.90e-3","4.49e-2","1.36","7.87e-2","4.28e-2","2.77e-3"
"GOTERM_BP_DIRECT","cytosolic ciliogenesis","1.90%","3","155","4","5659","4.26e-3","5.32e-1","27.38","9.86e-1","5.32e-1","7.90e-5"
"GOTERM_BP_DIRECT","foregut morphogenesis","1.90%","3","155","4","5659","4.26e-3","5.32e-1","27.38","9.86e-1","5.32e-1","7.90e-5"
"GOTERM_BP_DIRECT","protein deubiquitination","3.80%","6","155","40","5659","4.27e-3","5.32e-1","5.48","9.86e-1","5.32e-1","6.81e-4"
"UP_SEQ_FEATURE","TOPO_DOM:Cytoplasmic","24.05%","38","154","912","5763","4.27e-3","3.94e-1","1.56","9.65e-1","3.93e-1","2.63e-3"
"UP_KW_DOMAIN","Transmembrane","39.24%","62","122","1481","3850","4.40e-3","4.49e-2","1.32","8.85e-2","4.28e-2","3.23e-3"
"UP_SEQ_FEATURE","DOMAIN:ABC transporter 2","3.16%","5","154","26","5763","4.53e-3","3.94e-1","7.20","9.71e-1","3.93e-1","5.33e-4"
"UP_SEQ_FEATURE","DOMAIN:ABC transporter 1","3.16%","5","154","26","5763","4.53e-3","3.94e-1","7.20","9.71e-1","3.93e-1","5.33e-4"
"GOTERM_MF_DIRECT","ubiquitin binding","3.80%","6","144","43","5577","4.54e-3","4.56e-1","5.40","8.36e-1","4.56e-1","7.40e-4"
"GOTERM_MF_DIRECT","ATPase-coupled transmembrane transporter activity","3.16%","5","144","27","5577","4.60e-3","4.56e-1","7.17","8.39e-1","4.56e-1","5.46e-4"
"GOTERM_CC_DIRECT","endosome","6.96%","11","157","144","5845","4.92e-3","2.59e-1","2.84","7.53e-1","2.58e-1","1.59e-3"
"GOTERM_BP_DIRECT","cell-cell adhesion","3.80%","6","155","42","5659","5.28e-3","5.85e-1","5.22","9.95e-1","5.85e-1","8.89e-4"
"GOTERM_CC_DIRECT","septate junction","2.53%","4","157","14","5845","5.47e-3","2.59e-1","10.64","7.89e-1","2.58e-1","4.06e-4"
"UP_KW_DOMAIN","Transmembrane helix","38.61%","61","122","1472","3850","6.41e-3","4.49e-2","1.31","1.26e-1","4.28e-2","4.76e-3"
"INTERPRO","UBP24/USP9X/USP9Y_UBL","1.90%","3","158","5","6002","6.46e-3","7.22e-1","22.79","9.87e-1","7.22e-1","1.72e-4"
"GOTERM_MF_DIRECT","cysteine-type deubiquitinase activity","3.80%","6","144","47","5577","6.67e-3","5.04e-1","4.94","9.30e-1","5.04e-1","1.20e-3"
"GOTERM_BP_DIRECT","monoubiquitinated protein deubiquitination","1.90%","3","155","5","5659","6.97e-3","6.32e-1","21.91","9.99e-1","6.32e-1","1.94e-4"
"GOTERM_BP_DIRECT","protein deubiquitination involved in ubiquitin-dependent protein catabolic process","1.90%","3","155","5","5659","6.97e-3","6.32e-1","21.91","9.99e-1","6.32e-1","1.94e-4"
"UP_KW_MOLECULAR_FUNCTION","Translocase","3.80%","6","97","50","3890","7.26e-3","8.53e-2","4.81","2.90e-1","7.62e-2","1.35e-3"
"UP_KW_LIGAND","Lipid-binding","4.43%","7","61","77","2635","7.30e-3","1.46e-1","3.93","1.36e-1","1.46e-1","1.70e-3"
"GOTERM_MF_DIRECT","ABC-type transporter activity","3.16%","5","144","31","5577","7.61e-3","5.04e-1","6.25","9.52e-1","5.04e-1","1.06e-3"
"KEGG_PATHWAY","Endocytosis","2.53%","4","75","16","2776","7.93e-3","1.00e+0","9.25","8.11e-1","1.00e+0","6.99e-4"
"INTERPRO","IQ_motif_EF-hand-BS","2.53%","4","158","17","6002","9.12e-3","7.74e-1","8.94","9.98e-1","7.74e-1","8.42e-4"
"UP_SEQ_FEATURE","DOMAIN:PDZ","3.80%","6","154","49","5763","9.20e-3","7.20e-1","4.58","9.99e-1","7.18e-1","1.79e-3"
"INTERPRO","PDZ","3.80%","6","158","50","6002","9.43e-3","7.74e-1","4.56","9.98e-1","7.74e-1","1.85e-3"
"GOTERM_MF_DIRECT","signaling receptor activity","3.16%","5","144","33","5577","9.52e-3","5.40e-1","5.87","9.78e-1","5.40e-1","1.42e-3"
"GOTERM_BP_DIRECT","protein import into peroxisome matrix, receptor recycling","1.90%","3","155","6","5659","1.03e-2","8.53e-1","18.25","1.00e+0","8.53e-1","3.79e-4"
"UP_KW_BIOLOGICAL_PROCESS","Transport","24.05%","38","108","864","3543","1.05e-2","2.13e-1","1.44","4.73e-1","2.09e-1","6.94e-3"
"INTERPRO","Myosin_head_motor_dom-like","2.53%","4","158","18","6002","1.07e-2","7.74e-1","8.44","9.99e-1","7.74e-1","1.06e-3"
"KEGG_PATHWAY","Endocytosis","2.53%","4","75","18","2776","1.11e-2","1.00e+0","8.23","9.04e-1","1.00e+0","1.13e-3"
"UP_SEQ_FEATURE","DOMAIN:Myosin motor","2.53%","4","154","18","5763","1.12e-2","7.61e-1","8.32","1.00e+0","7.59e-1","1.12e-3"
