pc1_pos_loadings	pc1_neg_loadings	pc2_pos_loadings	pc2_neg_loadings	short_OA_all	short_OA_up_sev	short_OA_down_sev	mod_short_all	mod_short_up	mod_short_down	sev_short_all	sev_short_up	sev_short_down	intersect_short_all	intersect_short_up	intersect_short_down	dose_short_increase	dose_short_decrease	mod_persist_all	sev_persist_all	long_all	long_up	long_down	long_up_0.5	long_down_0.5
Q9P2R3	Q76LV2	Q9QZU7	Q28661	D3ZEY0	D3ZEY0	Q9VX98	Q9W0E8	Q9W0E8	Q61771	Q99758	Q148G4	Q99758	Q8BJZ4	Q8BJZ4	P11915	Q3SYT7	Q5VZR4	Q27245	Q24251	P16562	Q501J6	P16562	Q501J6	P16562
D4A9K4	A2Q0Z1	Q8BTN6	C0KJQ4	Q9VX98	P54219	P26270	Q29RB1	Q29RB1	P46871	Q7TNJ2	A0A1L5YRA2	Q7TNJ2	P11915	A5A761	Q9NQB0	Q9W141	Q9NQB0	Q24562	Q60HD8	Q501J6	A2Q0Z1	Q8CH02	A2Q0Z1	P21359
A0A3Q2HW92	Q8T635	Q1HG43	P00732	P26270	F1QR43	Q9JHD1	Q8BJZ4	Q8BJZ4	B3EWZ5	Q8N302	Q2M2S8	Q8N302	A5A761	Q3SWZ4	Q26240	Q292H2	Q15427	Q17QW3	P30430	Q8CH02	Q27450	P21359	P21932	O60500
B0S6T2	P10776	B2D0J5	Q9M2U3	P54219	Q6DIV6	Q15427	O55057	O55057	Q969Q5	Q148G4	Q9VTU0	Q6TNR1	Q3SWZ4	A1ZBT5	Q9VCR7	Q01650	Q5E951	P20232	Q9VKX4	A2Q0Z1	P21932	O60500	Q02040	
P81139	P81577	H9J9M0	Q80V42	F1QR43	Q23551	Q3ZCF3	P54814	P54814	Q80TA9	A0A1L5YRA2	Q9VCG3	Q9QZZ4	A1ZBT5	Q13685	O88902	Q9CXZ1	Q8NFZ3	P56688	P54131	Q27450	Q02040		Q9HCL2	
Q5BKQ4	A0A291PQF1	O00468	P51521	Q6DIV6	Q9I7U4	O16796	P0CB71	P0CB71	A2BE76	Q6TNR1	Q8BJZ4	Q8BFW7	Q13685	Q962X9	P48180	Q6IMM1	Q24119	P59235	O96347	P21932	Q9HCL2			
Q8BTN6	P26450	Q9QZU7	C6JUN9	Q9JHD1	Q9I7U4	Q5E951	Q61771	Q66JD1	Q99700	Q9QZZ4	D3ZEY0	Q5YCC5	Q962X9	Q5ZKC1	Q8BL99		Q96KR1	Q9VGG5	Q08BY0	Q02040	P12297			
Q9QZU7	Q7ZYC4	H9J9M0	Q9UBG0	Q15427	P03958	Q96KR1	P46871	P32429	Q03164	Q2M2S8	Q8WZ42	H9JIQ1	Q9NQB0	Q02372	P70031		O70318	Q16Y34	Q99426	P21359				
P00732	H9J9M0	Q66I46	Q9VZH2	Q23551	Q23551	Q18359	B3EWZ5	Q9FPH3	P11915	Q9VTU0	P34897	Q94887	Q5ZKC1	Q9VKX4	Q6INE3		Q9CR26	P16554	Q54796	Q9HCL2				
Q16822	Q13472	P48304	A0A0B4K692	Q9I7U4	Q23551	Q9CR26	Q969Q5	Q8IWL3	P13678	Q9VCG3	Q66JD1	Q23978	Q02372	O95563	Q9ES00		Q920A5	Q63245	Q9Y2G3	O60500				
