Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
sample_1	90268261.0	307.0	74960878.0	83.04	303.08	63481242.0	32992913.0	62464984.0	481597.0	6052.0	528609.0	0.7	0.04	2.45	0.03	1.96	6755355.0	7.48	21599.0	0.02	0.0	8.99	0.46	0	8115191	415238
sample_10	110581420.0	309.0	84733654.0	76.63	304.42	69063741.0	34552774.0	67685980.0	603697.0	7285.0	766779.0	0.7	0.05	2.59	0.04	2.12	13791716.0	12.47	178952.0	0.16	0.0	9.0	1.74	0	9952875	1924223
sample_11	105228987.0	309.0	81517705.0	77.47	303.69	59405138.0	29799265.0	58207331.0	472284.0	7829.0	717694.0	0.69	0.05	2.66	0.05	2.14	13267322.0	12.61	128458.0	0.12	0.0	8.56	1.24	0	9010275	1305227
sample_12	99436896.0	310.0	81035792.0	81.49	305.9	66372906.0	34830350.0	65313708.0	501131.0	6609.0	551458.0	0.7	0.04	2.46	0.04	1.93	7941356.0	7.99	20036.0	0.02	0.0	10.04	0.46	0	9982353	457359
sample_13	103900433.0	309.0	81234495.0	78.18	304.51	64809869.0	32244461.0	63727926.0	476818.0	7250.0	597875.0	0.69	0.05	2.65	0.04	2.02	10004566.0	9.63	75145.0	0.07	0.0	11.24	0.87	0	11682014	904213
sample_14	123588102.0	306.0	98994986.0	80.1	302.34	83792091.0	41959303.0	82436124.0	614833.0	8956.0	732178.0	0.67	0.04	2.57	0.04	1.98	12283580.0	9.94	79395.0	0.06	0.0	9.1	0.8	0	11241847	988294
sample_15	101364181.0	308.0	81983226.0	80.88	303.03	67126677.0	35351899.0	65907448.0	564733.0	7115.0	647381.0	0.7	0.05	2.6	0.04	2.01	9465772.0	9.34	29728.0	0.03	0.0	9.15	0.6	0	9277119	608336
sample_16	100199133.0	308.0	80815966.0	80.66	303.82	63632570.0	33394869.0	62525214.0	516557.0	6608.0	584191.0	0.71	0.05	2.68	0.04	1.97	9639874.0	9.62	29125.0	0.03	0.0	9.09	0.6	0	9112672	601496
sample_17	106426635.0	307.0	82662012.0	77.67	302.94	69227687.0	33850961.0	67927853.0	579634.0	6082.0	714118.0	0.67	0.05	2.52	0.04	2.02	12442090.0	11.69	109573.0	0.1	0.0	9.12	1.42	0	9702296	1510664
sample_18	92377850.0	306.0	72264263.0	78.23	301.92	61169273.0	29403287.0	60060020.0	493722.0	6915.0	608616.0	0.68	0.05	2.62	0.04	2.02	10510891.0	11.38	102205.0	0.11	0.0	9.05	1.23	0	8363759	1136732
sample_19	82462037.0	307.0	67224340.0	81.52	302.87	56427250.0	28969889.0	55495087.0	426760.0	5184.0	500219.0	0.7	0.04	2.48	0.04	2.04	6891627.0	8.36	17081.0	0.02	0.0	9.59	0.51	0	7908416	420573
sample_2	90610991.0	307.0	67679420.0	74.69	302.4	55909805.0	26479983.0	54774443.0	542867.0	5293.0	587202.0	0.67	0.05	2.57	0.04	2.17	12716113.0	14.03	223002.0	0.25	0.0	8.54	2.49	0	7736679	2255777
sample_20	85165964.0	308.0	68513321.0	80.45	303.54	57353422.0	28346498.0	56361568.0	470485.0	6052.0	515317.0	0.69	0.05	2.58	0.04	2.02	8614361.0	10.11	77020.0	0.09	0.0	8.59	0.76	0	7314143	647119
