Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
1	90268255.0	307.0	53932071.0	59.75	301.26	46098519.0	23172876.0	44905697.0	431741.0	4419.0	756662.0	1.07	0.07	2.24	0.07	1.73	15170028.0	16.81	17579.0	0.02	0.0	22.06	1.37	0	19911976	1236601
10	110581390.0	309.0	60709257.0	54.9	302.35	48983555.0	23427452.0	47460028.0	557972.0	6077.0	959478.0	1.11	0.09	2.54	0.07	2.0	19703668.0	17.82	191572.0	0.17	0.0	22.29	4.82	0	24647176	5329717
11	105228972.0	309.0	58430798.0	55.53	301.76	42031314.0	20598778.0	40856401.0	385065.0	6278.0	783570.0	1.12	0.09	2.6	0.07	2.33	18964841.0	18.02	107705.0	0.1	0.0	22.07	4.28	0	23222186	4503442
12	99436889.0	310.0	58717860.0	59.05	303.95	48611397.0	24057000.0	47337681.0	438474.0	4418.0	830824.0	1.08	0.08	2.34	0.07	1.79	16884992.0	16.98	25400.0	0.03	0.0	22.57	1.37	0	22446154	1362483
13	103900405.0	309.0	58311439.0	56.12	302.39	45639562.0	22515201.0	44330791.0	442522.0	5375.0	860874.0	1.1	0.08	2.46	0.07	1.94	17043673.0	16.4	80563.0	0.08	0.0	25.17	2.23	0	26148075	2316655
14	123588099.0	306.0	71024586.0	57.47	300.46	59332164.0	28977883.0	57765971.0	551425.0	6845.0	1007923.0	1.05	0.08	2.31	0.07	1.82	21093278.0	17.07	60410.0	0.05	0.0	23.29	2.12	0	28789249	2620576
15	101364177.0	308.0	59098331.0	58.3	301.24	48332275.0	24173394.0	46949879.0	544474.0	5102.0	832820.0	1.08	0.08	2.39	0.07	2.07	17615721.0	17.38	33919.0	0.03	0.0	22.45	1.83	0	22760866	1855340
16	100199121.0	308.0	58076882.0	57.96	302.03	45373015.0	22877618.0	44132833.0	436719.0	4482.0	798981.0	1.07	0.08	2.43	0.07	2.02	17755699.0	17.72	35119.0	0.04	0.0	22.42	1.86	0	22467482	1863939
17	106426630.0	307.0	59369394.0	55.78	301.16	49070124.0	23899947.0	47640611.0	523887.0	6360.0	899266.0	1.06	0.08	2.38	0.07	1.96	18826394.0	17.69	137656.0	0.13	0.0	22.62	3.78	0	24070753	4022433
18	92377841.0	306.0	51741190.0	56.01	300.1	43133664.0	20640595.0	41858044.0	493945.0	5527.0	776148.0	1.06	0.09	2.33	0.07	1.79	16384922.0	17.74	96885.0	0.1	0.0	22.57	3.58	0	20847986	3306858
19	82462016.0	307.0	48510686.0	58.83	301.11	41111842.0	20024471.0	39985299.0	404649.0	5733.0	716161.0	1.06	0.08	2.17	0.07	1.74	14202175.0	17.22	18872.0	0.02	0.0	22.56	1.36	0	18608494	1121789
2	90610984.0	307.0	47639594.0	52.58	300.56	39023932.0	18332652.0	37826819.0	504945.0	4863.0	687305.0	1.09	0.09	2.65	0.07	1.96	16701562.0	18.43	255962.0	0.28	0.0	21.84	6.87	0	19789022	6224844
20	85165952.0	308.0	48594663.0	57.06	301.69	39865538.0	19444967.0	38826243.0	408962.0	4564.0	625769.0	1.07	0.08	2.38	0.07	1.87	14870736.0	17.46	80223.0	0.09	0.0	23.2	2.18	0	19763265	1857065
21	86394782.0	308.0	46496776.0	53.82	300.98	35284586.0	17115906.0	34243703.0	353480.0	4082.0	683321.0	1.09	0.09	2.53	0.07	2.08	13728194.0	15.89	72154.0	0.08	0.0	28.06	2.15	0	24240327	1857331
22	85072530.0	305.0	50840951.0	59.76	299.38	41563778.0	20494558.0	40519577.0	387183.0	4231.0	652787.0	1.07	0.08	2.3	0.07	1.91	15689740.0	18.44	27766.0	0.03	0.0	20.27	1.49	0	17246335	1267738
