Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-1278~Translocase	5	31.25	4.8202300450350134E-6	P34848, B0FWD8, P07706, B0FWD1, Q34345	10	68	4691	34.49264705882353	6.748110632059934E-5	6.748322063049019E-5	6.748322063049019E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0679~Respiratory chain	4	25.0	1.7701277576288224E-5	P34848, B0FWD8, P07706, Q34345	7	42	4241	57.70068027210884	2.1239465201039476E-4	2.124153309154587E-4	2.124153309154587E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0249~Electron transport	4	25.0	7.288402713900663E-5	P34848, B0FWD8, P07706, Q34345	7	67	4241	36.17057569296375	8.742578134574019E-4	4.373041628340398E-4	4.373041628340398E-4
UP_KW_CELLULAR_COMPONENT	KW-0999~Mitochondrion inner membrane	5	31.25	1.0391593299207437E-4	P34848, B0FWD8, P07706, B0FWD1, Q34345	11	172	6223	16.44556025369979	9.348547444130162E-4	9.352433969286693E-4	9.352433969286693E-4
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	5	31.25	5.481733496950177E-4	P34848, B0FWD8, P07706, B0FWD1, Q34345	13	238	6903	11.15546218487395	0.011990652588282136	0.01205981369329039	0.01205981369329039
GOTERM_MF_DIRECT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	3	18.75	7.174120987212376E-4	P34848, B0FWD8, P07706	16	18	6623	68.98958333333333	0.024805591636780755	0.025109423455243318	0.025109423455243318
UP_KW_LIGAND	KW-0830~Ubiquinone	3	18.75	0.001732703184355223	P34848, B0FWD8, P07706	9	26	3193	40.93589743589743	0.02398652343747021	0.024257844580973124	0.024257844580973124
GOTERM_BP_DIRECT	GO:0006123~mitochondrial electron transport, cytochrome c to oxygen	2	12.5	0.0058113399988381125	B0FWD1, Q34345	14	3	6699	319.0	0.17976296416056292	0.19177421996165772	0.19177421996165772
GOTERM_MF_DIRECT	GO:0004129~cytochrome-c oxidase activity	2	12.5	0.006780148700773847	B0FWD1, Q34345	16	3	6623	275.9583333333333	0.21188664011279945	0.11865260226354232	0.11865260226354232
KEGG_PATHWAY	aag00190:Oxidative phosphorylation	2	12.5	0.009060648617120092	B0FWD8, B0FWD1	7	5	3301	188.6285714285714	0.18888444996010856	0.20839491819376213	0.20839491819376213
GOTERM_BP_DIRECT	GO:0015990~electron transport coupled proton transport	2	12.5	0.0135113055253843	P07706, Q34345	14	7	6699	136.7142857142857	0.37030271180966035	0.22293654116884096	0.22293654116884096
INTERPRO	IPR001750:ND/Mrp_TM	2	12.5	0.01469327512677439	P34848, P07706	16	7	7104	126.85714285714288	0.6345243971845078	0.9991427086206586	0.9991427086206586
UP_SEQ_FEATURE	DOMAIN:NADH:quinone oxidoreductase/Mrp antiporter transmembrane	2	12.5	0.015272435531308578	P34848, P07706	16	7	6833	122.01785714285715	0.637871871595161	1.0	1.0
KEGG_PATHWAY	aag01100:Metabolic pathways	2	12.5	0.01984302194087416	B0FWD8, B0FWD1	7	11	3301	85.74025974025973	0.369333690519725	0.22819475232005282	0.22819475232005282
UP_KW_CELLULAR_COMPONENT	KW-0496~Mitochondrion	5	31.25	0.020266341335873007	P34848, B0FWD8, P07706, B0FWD1, Q34345	11	712	6223	3.972803881511746	0.16828936253262383	0.09119853601142854	0.09119853601142854
GOTERM_MF_DIRECT	GO:0003954~NADH dehydrogenase activity	2	12.5	0.026864052470022753	B0FWD8, P07706	16	12	6623	68.98958333333333	0.6144568002087829	0.31341394548359874	0.31341394548359874
UP_KW_LIGAND	KW-0520~NAD	3	18.75	0.02826370087453768	P34848, B0FWD8, P07706	9	109	3193	9.764525993883792	0.3306119347276969	0.19784590612176378	0.19784590612176378
UP_KW_BIOLOGICAL_PROCESS	KW-0813~Transport	5	31.25	0.03935036293099232	Q29GB8, P34848, B0FWD8, P07706, Q34345	7	1075	4241	2.817940199335548	0.382296195537845	0.15740145172396927	0.15740145172396927
GOTERM_CC_DIRECT	GO:0045271~respiratory chain complex I	2	12.5	0.04263737765411666	P34848, P07706	13	25	6903	42.480000000000004	0.6165733567381044	0.4690111541952833	0.4690111541952833
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	8	50.0	0.0703329943337819	Q29GB8, P34848, O43451, B0FWD8, P07706, B0FWD1, Q23978, Q34345	11	2609	6223	1.7346945886616258	0.48126355525377174	0.2109989830013457	0.2109989830013457
