Treatment	Relative Expression (compared to control)	Gene ID	baseMean	log2FoldChange	lfcSE	padj	-Log(P)	Gene Name	Protein	Uniprot SPID	Blast Evalue	Uniprot ID Protein Name	gene_ontology_biological_process
Moderate OA (pH 7.8)	Higher	GWK47_010201	18	3.10	0.95	0.0084	2.07	MOIH_3	Mandibular organ-inhibiting hormone	P56688	7.25E-56	Mandibular organ-inhibiting hormone (MOIH) [Cleaved into: MOIH precursor-related peptide; Mandibular organ-inhibiting hormone]	circadian rhythm [GO:0007623]; neuropeptide signaling pathway [GO:0007218]
Moderate OA (pH 7.8)	Higher	GWK47_030633	20	2.78	1.00	0.0108	1.97	SLC22A13_8	Solute carrier family 22 member 13	Q9Y226	2.72E-54	Solute carrier family 22 member 13 (Organic anion transporter 10) (OAT10) (Organic cation transporter-like 3) (ORCTL-3) (ORCTL3)	negative regulation of fatty acid metabolic process [GO:0045922]; nicotinate transport [GO:2001142]; positive regulation of T cell mediated cytotoxicity directed against tumor cell target [GO:0002854]; urate transport [GO:0015747]
Moderate OA (pH 7.8)	Higher	GWK47_045356	17	1.87	0.66	0.0252	1.60		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_053415	1045	1.45	0.49	0.0230	1.64	doxa-1	Dual oxidase maturation factor 1	Q1HG43	1.79E-27	Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)	hydrogen peroxide metabolic process [GO:0042743]; positive regulation of hydrogen peroxide biosynthetic process [GO:0010729]; positive regulation of neuron differentiation [GO:0045666]; protein localization [GO:0008104]; protein transport [GO:0015031]; regulation of inflammatory response [GO:0050727]; regulation of thyroid hormone generation [GO:2000609]
Moderate OA (pH 7.8)	Higher	GWK47_007253	9849	1.12	0.44	0.0304	1.52	UGT2B15_3	UDP-glucuronosyltransferase 2B15	A0A291PQF1	3.95E-43	UDP-glycosyltransferase UGT5 (EC 2.4.1.-) (UDP-glucosyltransferase 5) (DcUGT5)	
Moderate OA (pH 7.8)	Higher	GWK47_000795	56	1.08	0.36	0.0195	1.71		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_015047	6942	1.07	0.31	0.0135	1.87	4CL_0	4-coumarate--CoA ligase	P41636	1.46E-79	4-coumarate--CoA ligase (4CL) (EC 6.2.1.12) (4-coumaroyl-CoA synthase)	phenylpropanoid metabolic process [GO:0009698]
Moderate OA (pH 7.8)	Higher	GWK47_048697	765	0.98	0.28	0.0090	2.05	SLC5A3_1	Sodium/myo-inositol cotransporter	Q28728	3.29E-153	Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (rKST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)	apoptotic process [GO:0006915]; myo-inositol transport [GO:0015798]
Moderate OA (pH 7.8)	Higher	GWK47_020277	144	0.96	0.36	0.0252	1.60	CU1A	Cuticle protein AMP1A	P81384	3.83E-18	Cuticle protein AMP1A (HA-AMP1A)	
Moderate OA (pH 7.8)	Higher	GWK47_022108	4637	0.76	0.24	0.0183	1.74	CLEC17A	C-type lectin domain family 17, member A	Q6ZS10	4.32E-16	C-type lectin domain family 17, member A (Prolectin)	immune response [GO:0006955]
Moderate OA (pH 7.8)	Higher	GWK47_011520	186	0.69	0.17	0.0035	2.46	Myo5a_0	Unconventional myosin-Va	Q99104	5.08E-131	Unconventional myosin-Va (Dilute myosin heavy chain, non-muscle)	actin filament-based movement [GO:0030048]; cellular response to insulin stimulus [GO:0032869]; chemical synaptic transmission [GO:0007268]; developmental pigmentation [GO:0048066]; endoplasmic reticulum localization [GO:0051643]; establishment of endoplasmic reticulum localization to postsynapse [GO:0099089]; exocytosis [GO:0006887]; hair follicle maturation [GO:0048820]; insulin secretion [GO:0030073]; locomotion involved in locomotory behavior [GO:0031987]; long-chain fatty acid biosynthetic process [GO:0042759]; melanin biosynthetic process [GO:0042438]; melanin metabolic process [GO:0006582]; melanocyte differentiation [GO:0030318]; melanosome localization [GO:0032400]; melanosome transport [GO:0032402]; myelination [GO:0042552]; odontogenesis [GO:0042476]; pigmentation [GO:0043473]; protein localization to plasma membrane [GO:0072659]; regulation of postsynaptic cytosolic calcium ion concentration [GO:0099566]; secretory granule localization [GO:0032252]; synapse organization [GO:0050808]; vesicle transport along actin filament [GO:0030050]; vesicle-mediated transport [GO:0016192]; visual perception [GO:0007601]
Moderate OA (pH 7.8)	Higher	GWK47_018618	3899	0.61	0.18	0.0105	1.98	glt1_1	putative glutamate synthase [NADPH	Q03460	5.73E-198	Glutamate synthase [NADH], amyloplastic (EC 1.4.1.14) (NADH-GOGAT)	L-glutamate biosynthetic process [GO:0097054]
Moderate OA (pH 7.8)	Higher	GWK47_050003	8193	0.48	0.21	0.0495	1.31	miox	Inositol oxygenase	Q4V8T0	9.98E-64	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase) (MI oxygenase)	inositol catabolic process [GO:0019310]
Moderate OA (pH 7.8)	Higher	GWK47_015679	60	0.46	0.19	0.0432	1.36		hypothetical protein				
Moderate OA (pH 7.8)	Higher	GWK47_001654	369	0.46	0.17	0.0280	1.55		hypothetical protein				
