gene_id	GO
GWK47_003245	GO:0004930
GWK47_003245	GO:0007186
GWK47_003245	GO:0016021
GWK47_003246	GO:0004222
GWK47_003246	GO:0006508
GWK47_003246	GO:0008237
GWK47_003246	GO:0008270
GWK47_027902	GO:0005515
GWK47_027913	GO:0005576
GWK47_027922	GO:0008033
GWK47_027922	GO:0008168
GWK47_027924	GO:0003676
GWK47_027924	GO:0004523
GWK47_027940	GO:0003700
GWK47_027940	GO:0005634
GWK47_027940	GO:0006355
GWK47_027940	GO:0008270
GWK47_027940	GO:0043565
GWK47_027943	GO:0005524
GWK47_027943	GO:0016887
GWK47_027945	GO:0005524
GWK47_027945	GO:0016887
GWK47_027946	GO:0003676
GWK47_027946	GO:0005515
GWK47_027950	GO:0005509
GWK47_027963	GO:0003676
GWK47_027963	GO:0004523
GWK47_027969	GO:0016788
GWK47_027969	GO:0016888
GWK47_027970	GO:0003824
GWK47_027970	GO:0004807
GWK47_027970	GO:0006096
GWK47_027972	GO:0003824
GWK47_027972	GO:0006281
GWK47_027972	GO:0006284
GWK47_027980	GO:0003676
GWK47_027980	GO:0003723
GWK47_027981	GO:0000502
GWK47_027981	GO:0030234
GWK47_027981	GO:0042176
GWK47_028014	GO:0000290
GWK47_028014	GO:0008047
GWK47_028014	GO:0043085
GWK47_028016	GO:0005515
GWK47_028019	GO:0005515
GWK47_028020	GO:0006886
GWK47_028020	GO:0008536
GWK47_028049	GO:0003735
GWK47_028049	GO:0005840
GWK47_028049	GO:0006412
GWK47_028061	GO:0016787
GWK47_028065	GO:0003924
GWK47_028065	GO:0005525
GWK47_028070	GO:0003677
GWK47_028072	GO:0003676
GWK47_028072	GO:0008270
GWK47_028075	GO:0005515
GWK47_028094	GO:0004672
GWK47_028094	GO:0005524
GWK47_028094	GO:0006468
GWK47_028100	GO:0016020
GWK47_028100	GO:0022857
GWK47_028100	GO:0055085
GWK47_028103	GO:0005515
GWK47_028105	GO:0005515
GWK47_028113	GO:0005515
GWK47_028113	GO:0016491
GWK47_028113	GO:0055114
GWK47_028155	GO:0030246
GWK47_028156	GO:0007165
GWK47_028168	GO:0016491
GWK47_028168	GO:0016620
GWK47_028168	GO:0055114
GWK47_028170	GO:0003824
GWK47_028170	GO:0006506
GWK47_028170	GO:0051377
GWK47_028171	GO:0005515
GWK47_028179	GO:0005515
GWK47_028179	GO:0005856
GWK47_028182	GO:0019825
GWK47_028182	GO:0020037
GWK47_028189	GO:0042721
GWK47_028191	GO:0003676
GWK47_028199	GO:0006511
GWK47_028199	GO:0016579
GWK47_028199	GO:0036459
GWK47_028200	GO:0004672
GWK47_028200	GO:0005524
GWK47_028200	GO:0006468
GWK47_028202	GO:0004970
GWK47_028202	GO:0016020
GWK47_028212	GO:0004970
GWK47_028212	GO:0016020
GWK47_028214	GO:0003824
GWK47_028216	GO:0004970
GWK47_028216	GO:0016020
GWK47_028220	GO:0003676
GWK47_028230	GO:0055114
GWK47_028260	GO:0003676
GWK47_028260	GO:0004523
GWK47_028289	GO:0016758
GWK47_028290	GO:0016758
GWK47_028293	GO:0016758
GWK47_028296	GO:0006486
GWK47_028296	GO:0008378
GWK47_028296	GO:0016020
GWK47_028302	GO:0004970
GWK47_028302	GO:0016020
GWK47_028306	GO:0016020
GWK47_028322	GO:0008237
GWK47_028322	GO:0008270
GWK47_028323	GO:0006508
GWK47_028323	GO:0008237
GWK47_028323	GO:0008270
GWK47_028328	GO:0003676
GWK47_028332	GO:0003676
GWK47_028335	GO:0016491
GWK47_028335	GO:0055114
GWK47_000294	GO:0005515
GWK47_028339	GO:0003676
GWK47_028339	GO:0004523
GWK47_028344	GO:0003676
GWK47_028345	GO:0003676
GWK47_028348	GO:0005874
GWK47_028348	GO:0007017
GWK47_028355	GO:0003677
GWK47_028359	GO:0005515
GWK47_028374	GO:0003735
GWK47_028374	GO:0005840
GWK47_028374	GO:0006412
GWK47_028375	GO:0005515
GWK47_028377	GO:0003735
GWK47_028377	GO:0005840
GWK47_028377	GO:0006412
GWK47_028379	GO:0003677
GWK47_028379	GO:0005524
GWK47_028379	GO:0006260
GWK47_028379	GO:0006270
GWK47_028381	GO:0006888
GWK47_028387	GO:0005525
GWK47_028402	GO:0005230
GWK47_028402	GO:0006811
GWK47_028402	GO:0016021
GWK47_028404	GO:0016021
GWK47_028408	GO:0005548
GWK47_028408	GO:0015914
GWK47_028409	GO:0005548
GWK47_028409	GO:0015914
GWK47_028421	GO:0003735
GWK47_028421	GO:0005840
GWK47_028421	GO:0006412
GWK47_028422	GO:0009058
GWK47_028422	GO:0016742
GWK47_028437	GO:0005096
GWK47_028437	GO:0051056
GWK47_003289	GO:0005525
GWK47_028456	GO:0003676
GWK47_028458	GO:0016307
GWK47_028458	GO:0046488
GWK47_028460	GO:0035556
GWK47_028460	GO:0046872
GWK47_028461	GO:0005744
GWK47_028461	GO:0030150
GWK47_028462	GO:0005216
GWK47_028462	GO:0005515
GWK47_028462	GO:0006811
GWK47_028462	GO:0016020
GWK47_028462	GO:0055085
GWK47_028463	GO:0004164
GWK47_028463	GO:0008168
GWK47_028463	GO:0017183
GWK47_028466	GO:0005524
GWK47_028466	GO:0006457
GWK47_028466	GO:0051082
GWK47_028476	GO:0005524
GWK47_028476	GO:0005737
GWK47_028476	GO:0016787
GWK47_028476	GO:0030163
GWK47_028477	GO:0006511
GWK47_028479	GO:0004930
GWK47_028479	GO:0016020
GWK47_028479	GO:0030246
GWK47_028486	GO:0005524
GWK47_028486	GO:0016021
GWK47_028486	GO:0016887
GWK47_028486	GO:0042626
GWK47_028486	GO:0055085
GWK47_028487	GO:0005524
GWK47_028487	GO:0016021
GWK47_028487	GO:0042626
GWK47_028487	GO:0055085
GWK47_028490	GO:0005524
GWK47_028490	GO:0016021
GWK47_028490	GO:0016887
GWK47_028490	GO:0042626
GWK47_028490	GO:0055085
GWK47_028508	GO:0016491
GWK47_028508	GO:0055114
GWK47_028510	GO:0003924
GWK47_028510	GO:0005525
GWK47_028510	GO:0007165
GWK47_028510	GO:0016020
GWK47_028511	GO:0003712
GWK47_028511	GO:0006357
GWK47_028511	GO:0016592
GWK47_028517	GO:0004639
GWK47_028517	GO:0006164
GWK47_028517	GO:0006189
GWK47_028518	GO:0004044
GWK47_028518	GO:0009113
GWK47_028518	GO:0009116
GWK47_028527	GO:0046872
GWK47_028529	GO:0005515
GWK47_028550	GO:0005096
GWK47_028550	GO:0005515
GWK47_028550	GO:0007165
GWK47_028561	GO:0003677
GWK47_028561	GO:0006281
GWK47_003299	GO:0003934
GWK47_003299	GO:0046654
GWK47_028596	GO:0005515
GWK47_028599	GO:0003824
GWK47_028599	GO:0008483
GWK47_028599	GO:0030170
GWK47_028601	GO:0003824
GWK47_028601	GO:0008483
GWK47_028601	GO:0030170
GWK47_028602	GO:0003735
GWK47_028602	GO:0005840
GWK47_028602	GO:0006412
GWK47_028611	GO:0003824
GWK47_028611	GO:0008483
GWK47_028611	GO:0030170
GWK47_028614	GO:0005509
GWK47_028614	GO:0005515
GWK47_028614	GO:0005783
GWK47_028614	GO:0006457
GWK47_028614	GO:0051082
GWK47_028616	GO:0005739
GWK47_028616	GO:0008137
GWK47_028623	GO:0003676
GWK47_028623	GO:0003677
GWK47_028623	GO:0004003
GWK47_028623	GO:0005524
GWK47_028623	GO:0005634
GWK47_028623	GO:0006139
GWK47_028623	GO:0006289
GWK47_028623	GO:0008026
GWK47_028623	GO:0016818
GWK47_028631	GO:0003676
GWK47_028631	GO:0004523
GWK47_028642	GO:0005515
GWK47_028642	GO:0005634
GWK47_028642	GO:0006355
GWK47_028674	GO:0046854
GWK47_028675	GO:0003924
GWK47_028675	GO:0005200
GWK47_028675	GO:0005525
GWK47_028675	GO:0005874
GWK47_028675	GO:0007017
GWK47_028677	GO:0006352
GWK47_028677	GO:0046982
GWK47_028678	GO:0003824
GWK47_028678	GO:0046912
GWK47_028678	GO:0048037
GWK47_028678	GO:0005524
GWK47_028683	GO:0007275
GWK47_028683	GO:0016021
GWK47_028693	GO:0016021
GWK47_028693	GO:0055085
GWK47_028696	GO:0006508
GWK47_028696	GO:0008237
GWK47_028697	GO:0004222
GWK47_028697	GO:0006508
GWK47_028697	GO:0008237
GWK47_028700	GO:0004364
GWK47_028700	GO:0005515
GWK47_028700	GO:0005737
GWK47_028700	GO:0016702
GWK47_028700	GO:0055114
GWK47_028702	GO:0005524
GWK47_028709	GO:0005249
GWK47_028709	GO:0005737
GWK47_028709	GO:0006813
GWK47_028715	GO:0003924
GWK47_028715	GO:0005874
GWK47_028715	GO:0007017
GWK47_028734	GO:0003676
GWK47_028734	GO:0004523
GWK47_028744	GO:0004842
GWK47_028746	GO:0003824
GWK47_028754	GO:0016021
GWK47_028816	GO:0004672
GWK47_028816	GO:0005524
GWK47_028816	GO:0006468
GWK47_028821	GO:0000413
GWK47_028821	GO:0003755
GWK47_028821	GO:0008270
GWK47_028838	GO:0005515
GWK47_028840	GO:0005515
GWK47_028841	GO:0005515
GWK47_003321	GO:0046872
GWK47_028890	GO:0003824
GWK47_028890	GO:0030170
GWK47_028893	GO:0005515
GWK47_028897	GO:0003777
GWK47_028897	GO:0005524
GWK47_028897	GO:0007018
GWK47_028897	GO:0008017
GWK47_028906	GO:0003743
GWK47_028906	GO:0005737
GWK47_028906	GO:0005852
GWK47_003348	GO:0005874
GWK47_003348	GO:0007017
GWK47_028911	GO:0004114
GWK47_028911	GO:0007165
GWK47_028913	GO:0003676
GWK47_028913	GO:0004523
GWK47_028916	GO:0003676
GWK47_028935	GO:0016021
GWK47_028935	GO:0055085
GWK47_028949	GO:0016020
GWK47_028950	GO:0016020
GWK47_028978	GO:0003676
GWK47_028980	GO:0003924
GWK47_028980	GO:0005525
GWK47_028982	GO:0005739
GWK47_028982	GO:0065003
GWK47_028985	GO:0003677
GWK47_028985	GO:0006313
GWK47_028985	GO:0015074
GWK47_028989	GO:0006508
GWK47_028989	GO:0008236
GWK47_028989	GO:0016020
GWK47_028991	GO:0003723
GWK47_028996	GO:0004252
GWK47_028996	GO:0006508
GWK47_028997	GO:0004252
GWK47_028997	GO:0006508
GWK47_029020	GO:0003676
GWK47_029020	GO:0004523
GWK47_029028	GO:0005515
GWK47_029032	GO:0005509
GWK47_029032	GO:0005515
GWK47_029036	GO:0004364
GWK47_029036	GO:0005515
GWK47_029044	GO:0051225
GWK47_029044	GO:0070652
GWK47_029071	GO:0005515
GWK47_029074	GO:0005432
GWK47_029074	GO:0006816
GWK47_029074	GO:0007154
GWK47_029074	GO:0016020
GWK47_029074	GO:0016021
GWK47_029074	GO:0055085
GWK47_029080	GO:0003779
GWK47_029080	GO:0005200
GWK47_029080	GO:0005515
GWK47_029080	GO:0008091
GWK47_029081	GO:0005515
GWK47_029081	GO:0005543
GWK47_029107	GO:0003824
GWK47_029107	GO:0004559
GWK47_029107	GO:0005975
GWK47_029107	GO:0006013
GWK47_029107	GO:0030246
GWK47_029108	GO:0008146
GWK47_029108	GO:0016021
GWK47_029109	GO:0008654
GWK47_029109	GO:0016020
GWK47_029109	GO:0016780
GWK47_029110	GO:0005515
GWK47_029111	GO:0003676
GWK47_029112	GO:0003824
GWK47_029112	GO:0008483
GWK47_029112	GO:0030170
GWK47_029113	GO:0003735
GWK47_029113	GO:0005840
GWK47_029113	GO:0006412
GWK47_029113	GO:0015935
GWK47_029123	GO:0003676
GWK47_029123	GO:0004523
GWK47_029128	GO:0005509
GWK47_029128	GO:0005515
GWK47_029129	GO:0005515
GWK47_029130	GO:0005509
GWK47_029130	GO:0005515
GWK47_029136	GO:0003700
GWK47_029136	GO:0006355
GWK47_029136	GO:0043565
GWK47_029143	GO:0007160
GWK47_029144	GO:0005506
GWK47_029144	GO:0016491
GWK47_029144	GO:0016705
GWK47_029144	GO:0031418
GWK47_029144	GO:0055114
GWK47_029146	GO:0005743
GWK47_029146	GO:0022857
GWK47_029146	GO:0055085
GWK47_029153	GO:0003924
GWK47_029153	GO:0005515
GWK47_029153	GO:0005525
GWK47_029153	GO:0007264
GWK47_029166	GO:0003676
GWK47_029166	GO:0004523
GWK47_029182	GO:0003676
GWK47_029182	GO:0003723
GWK47_029197	GO:0042578
GWK47_029199	GO:0005524
GWK47_029204	GO:0005524
GWK47_029204	GO:0006457
GWK47_029204	GO:0051082
GWK47_029205	GO:0005524
GWK47_029205	GO:0006457
GWK47_029205	GO:0051082
GWK47_029210	GO:0005515
GWK47_029211	GO:0003712
GWK47_029211	GO:0006357
GWK47_029211	GO:0016592
GWK47_029212	GO:0005515
GWK47_029212	GO:0005634
GWK47_029214	GO:0003677
GWK47_029214	GO:0008270
GWK47_029218	GO:0005515
GWK47_029222	GO:0003676
GWK47_029222	GO:0004523
GWK47_029227	GO:0005515
GWK47_029235	GO:0006886
GWK47_029235	GO:0016192
GWK47_029235	GO:0030131
GWK47_029238	GO:0003676
